Metodo,Acuracia
GaussianNB,0.6163076923076923
BernoulliNB,0.6329230769230769
KNeighborsClassifier(2),0.7153846153846153
KNeighborsClassifier(3),0.7578461538461537
KNeighborsClassifier(5),0.7449230769230769
KNeighborsClassifier(8),0.731076923076923
DecisionTreeClassifier(),0.7292307692307693
RandomForestClassifier(3_estimators),0.7267692307692308
RandomForestClassifier(5_estimators),0.751076923076923
RandomForestClassifier,0.7603076923076924
SVM,0.7384615384615385
MLPClassifier,0.7575384615384615
rand1,0.5269461077844312
rand2,0.5069860279441117
rand3,0.5369261477045908
majoritario,0.5429141716566867
minoritario,0.45708582834331335
pessimo,0.0
otimo,1.0
