,Discriminacao,Dificuldade,Adivinhacao
V1,5.514,-1.031,0.132
V2,2.603,-0.780,0.097
V3,7.349,-0.763,0.053
V4,0.521,0.044,0.104
V5,1.592,-5.549,0.149
V6,1.403,-2.654,0.057
V7,2.597,-0.787,0.089
V8,-5.513,-0.287,0.000
V9,-1.842,-1.433,0.000
V10,-0.028,133.220,0.074
V11,-1.309,-6.449,0.008
V12,2.622,-1.059,0.075
V13,5.514,-1.031,0.132
V14,10.728,0.134,0.331
V15,2.094,-1.477,0.057
V16,8.117,0.233,0.576
V17,1.504,-1.426,0.103
V18,-3.523,0.710,0.000
V19,7.537,1.065,0.143
V20,10.568,1.089,0.155
V21,2.804,-0.082,0.027
V22,1.431,-2.077,0.070
V23,5.514,-1.031,0.133
V24,1.432,-2.077,0.071
V25,-4.931,0.139,0.218
V26,-1.202,-5.120,0.022
V27,1.591,-5.551,0.150
V28,-4.275,0.250,0.027
V29,6.798,-0.100,0.205
V30,-2.459,2.594,0.008
V31,-3.068,-0.148,0.000
V32,-10.748,-0.614,0.000
V33,1.591,-5.551,0.150
V34,-0.613,6.521,0.066
V35,5.727,-1.035,0.049
V36,-3.475,1.141,0.006
V37,5.727,-1.035,0.050
V38,-7.246,-0.776,0.000
V39,1.431,-2.081,0.067
V40,10.499,0.043,0.111
V41,1.403,-2.654,0.057
V42,-1.729,-1.031,0.000
V43,3.240,-0.316,0.299
V44,-1.384,-1.324,0.000
V45,3.115,-0.834,0.075
V46,0.605,-1.656,0.119
V47,-2.843,0.332,0.000
V48,1.591,-5.552,0.150
V49,-0.229,-28.390,0.379
V50,-2.898,-0.694,0.000
V51,7.949,-0.175,0.094
V52,-0.494,4.081,0.149
V53,5.727,-1.035,0.050
V54,1.565,-1.149,0.146
V55,1.464,-1.714,0.082
V56,0.968,-2.742,0.077
V57,1.591,-5.552,0.151
V58,1.504,-1.427,0.101
V59,5.514,-1.030,0.134
V60,11.417,0.896,0.232
V61,-33.030,-0.891,0.000
V62,5.514,-1.030,0.135
V63,4.321,-0.346,0.145
V64,-0.365,-21.907,0.083
V65,1.403,-2.653,0.057
V66,1.590,-5.554,0.152
V67,-35.402,-0.737,0.000
V68,1.589,-5.555,0.153
V69,-2.860,-0.399,0.445
V70,-2.249,0.142,0.000
V71,1.589,-5.556,0.153
V72,5.514,-1.030,0.136
V73,15.562,0.311,0.299
V74,3.114,-0.834,0.074
V75,9.192,0.035,0.221
V76,-1.045,0.345,0.008
V77,2.311,-0.220,0.291
V78,1.432,-2.076,0.071
V79,-1.475,-1.550,0.000
V80,6.144,0.454,0.589
V81,-1.400,-2.721,0.000
V82,2.095,-1.472,0.064
V83,0.968,-2.742,0.076
V84,1.589,-5.557,0.154
V85,1.146,-0.350,0.032
V86,1.589,-5.557,0.155
V87,1.588,-5.558,0.155
V88,1.403,-2.653,0.058
V89,1.588,-5.558,0.155
V90,10.178,-0.641,0.067
V91,1.408,-2.578,0.137
V92,-0.166,22.179,0.078
V93,-3.052,0.539,0.000
V94,8.818,-0.043,0.107
V95,1.766,-1.058,0.102
V96,-1.817,-5.017,0.144
V97,1.403,-2.652,0.058
V98,3.734,0.564,0.676
V99,6.642,-0.858,0.054
V100,8.456,-0.693,0.055
V101,1.403,-2.652,0.059
V102,5.727,-1.035,0.050
V103,-4.620,0.019,0.000
V104,-1.605,1.797,0.001
V105,2.095,-1.472,0.064
V106,-1.423,-2.153,0.000
V107,1.271,-1.741,0.085
V108,6.560,-0.843,0.132
V109,1.587,-5.560,0.156
V110,1.587,-5.560,0.157
V111,1.587,-5.561,0.157
V112,0.572,-2.061,0.081
V113,-1.298,-1.278,0.000
V114,6.805,-0.100,0.205
V115,1.403,-2.656,0.054
V116,5.727,-1.035,0.050
V117,5.514,-1.029,0.139
V118,0.559,-2.148,0.126
V119,6.561,-0.843,0.134
V120,-4.826,0.192,0.439
V121,1.586,-5.562,0.158
V122,2.620,-1.063,0.068
V123,7.665,-0.758,0.060
V124,-1.116,-1.718,0.001
V125,3.521,-0.042,0.479
V126,5.727,-1.035,0.050
V127,12.142,0.938,0.212
V128,8.776,0.081,0.331
V129,-2.088,-1.515,0.000
V130,-1.736,0.874,0.001
V131,-2.463,0.385,0.000
V132,1.403,-2.652,0.059
V133,2.095,-1.474,0.061
V134,1.586,-5.562,0.159
V135,5.727,-1.035,0.050
V136,2.609,-0.774,0.104
V137,1.586,-5.563,0.159
V138,2.095,-1.472,0.065
V139,8.463,-0.261,0.084
V140,1.586,-5.563,0.159
V141,1.586,-5.564,0.160
V142,-5.407,-1.068,0.000
V143,3.575,-0.460,0.138
V144,2.095,-1.472,0.065
V145,1.464,-1.714,0.082
V146,-1.400,-2.721,0.001
V147,10.832,-0.542,0.047
V148,9.622,0.004,0.110
V149,-0.491,-0.843,0.044
V150,6.589,-0.860,0.053
V151,1.585,-5.564,0.160
V152,2.094,-1.477,0.057
V153,1.585,-5.565,0.161
V154,-4.442,-0.376,0.000
V155,8.538,-0.916,0.048
V156,-11.055,0.015,0.009
V157,-1.788,-0.402,0.023
V158,1.431,-2.078,0.069
V159,-0.386,6.756,0.156
V160,10.960,0.017,0.005
V161,-0.495,-3.078,0.007
V162,3.619,-0.684,0.074
V163,-1.285,-0.306,0.000
V164,1.585,-5.565,0.161
V165,10.463,0.043,0.111
V166,0.703,-1.853,0.135
V167,1.585,-5.566,0.161
V168,-2.633,-0.639,0.000
V169,1.585,-5.566,0.162
V170,1.330,0.987,0.194
V171,1.584,-5.567,0.162
V172,-1.400,-2.721,0.000
V173,6.170,-0.077,0.313
V174,-1.423,-2.153,0.000
V175,-33.030,-0.891,0.000
V176,-2.520,2.083,0.144
V177,-5.034,0.139,0.000
V178,1.432,-2.077,0.070
V179,8.538,-0.916,0.048
V180,6.810,1.257,0.116
V181,1.432,-2.076,0.071
V182,1.795,-1.197,0.102
