Clf,Score
SVM,170.31663334252414
GaussianNB,311.93183272977865
RandomForestClassifier,326.767449038951
RandomForestClassifier(3_estimators),337.9880698787703
RandomForestClassifier(5_estimators),338.08888961877943
majoritario,339.41350434557876
BernoulliNB,343.0200810709977
DecisionTreeClassifier(),343.4434809321955
KNeighborsClassifier(5),344.53854868269906
KNeighborsClassifier(8),345.7014373037537
KNeighborsClassifier(3),347.0901573991989
pessimo,347.8045139183659
rand3,348.8737497296049
rand2,349.1188245865456
rand1,349.5362295859773
KNeighborsClassifier(2),350.17775079287065
otimo,352.6238202886006
minoritario,356.2869621823636
MLPClassifier,356.3788588445033
