Clf,Score
SVM,283.2961871915653
GaussianNB,363.39387855465606
RandomForestClassifier,372.1827023741454
majoritario,375.5200522186191
RandomForestClassifier(5_estimators),375.6699797608734
RandomForestClassifier(3_estimators),375.6778216253619
BernoulliNB,375.78511495891325
DecisionTreeClassifier(),375.91127648565407
KNeighborsClassifier(5),376.26610144420545
KNeighborsClassifier(8),376.64457924225474
KNeighborsClassifier(3),377.0635180395335
pessimo,377.2673587777044
rand3,377.57174905393947
rand2,377.642674001819
rand1,377.76452841361623
KNeighborsClassifier(2),377.9524352187183
otimo,378.55592607325957
minoritario,379.18404599151444
MLPClassifier,379.2011207786764
