,Discriminacao,Dificuldade,Adivinhacao
V1,4.835,-2.031,0.011
V2,-1.372,-6.343,0.014
V3,0.861,-3.534,0.062
V4,5.530,-1.810,0.011
V5,-0.385,-38.843,0.022
V6,-5.579,-2.038,0.001
V7,-0.930,-3.104,0.003
V8,10.063,0.300,0.093
V9,5.530,-1.810,0.011
V10,6.110,-1.439,0.017
V11,-0.010,140.509,0.078
V12,1.074,-2.384,0.134
V13,-1.961,-0.640,0.001
V14,4.455,-1.869,0.020
V15,5.996,-1.646,0.016
V16,-1.827,-6.209,0.022
V17,4.835,-2.031,0.011
V18,3.331,-1.473,0.025
V19,-0.972,-4.253,0.002
V20,-0.244,-33.811,0.001
V21,-1.682,-10.172,0.008
V22,3.447,2.226,0.202
V23,-4.322,-1.883,0.001
V24,-0.244,-33.811,0.001
V25,-0.884,-2.888,0.003
V26,-3.181,-1.830,0.001
V27,5.530,-1.810,0.011
V28,-0.056,-72.190,0.342
V29,-3.227,-1.549,0.027
V30,0.966,-3.817,0.060
V31,1.040,-2.703,0.124
V32,-2.308,-2.041,0.389
V33,5.530,-1.810,0.011
V34,-0.548,0.991,0.018
V35,0.099,-20.209,0.072
V36,6.175,1.219,0.192
V37,0.706,2.815,0.186
V38,-4.346,-1.890,0.001
V39,5.607,-1.444,0.017
V40,-1.566,-4.213,0.001
V41,-0.244,-33.811,0.001
V42,8.224,-0.055,0.250
V43,0.477,-5.179,0.067
V44,5.530,-1.810,0.011
V45,-3.128,-1.722,0.001
V46,0.992,-3.214,0.080
V47,-3.430,-4.310,0.014
V48,2.509,3.349,0.048
V49,4.835,-2.031,0.011
V50,3.634,-0.426,0.907
V51,-0.948,-5.955,0.003
V52,-1.908,-0.469,0.001
V53,-1.795,-3.614,0.033
V54,-0.941,-2.706,0.006
V55,-1.382,-0.751,0.001
V56,-1.566,-4.213,0.001
V57,-0.971,-4.262,0.002
V58,-1.310,-5.343,0.005
V59,0.646,-5.871,0.029
V60,-1.578,-4.240,0.002
V61,-1.892,-0.773,0.001
V62,4.056,-1.738,0.020
V63,-1.310,-5.343,0.005
V64,4.835,-2.031,0.011
V65,-0.978,-2.689,0.003
V66,-1.556,-6.408,0.030
V67,-0.826,-5.363,0.001
V68,3.297,3.028,0.079
V69,-0.947,-4.005,0.003
V70,4.056,-1.738,0.020
V71,2.295,3.596,0.013
V72,-1.066,-3.693,0.002
V73,8.260,-0.308,0.355
V74,-0.244,-33.811,0.001
V75,-1.033,-4.548,0.002
V76,0.789,-4.380,0.059
V77,0.172,92.204,0.053
V78,4.835,-2.031,0.011
V79,-0.950,-3.972,0.003
V80,-0.978,-2.750,0.005
V81,5.530,-1.810,0.011
V82,8.006,-1.146,0.014
V83,-3.430,-4.311,0.014
V84,-1.239,-0.798,0.210
V85,-0.776,-4.620,0.003
V86,0.871,-4.076,0.066
