Metodo,Acuracia
GaussianNB,0.7735708905799548
BernoulliNB,0.9636456899462379
KNeighborsClassifier(2),0.9485182972755369
KNeighborsClassifier(3),0.9553658156507284
KNeighborsClassifier(5),0.9492442147365139
KNeighborsClassifier(8),0.9344830272965743
DecisionTreeClassifier(),0.9668856972183985
RandomForestClassifier(3_estimators),0.9701231072903409
RandomForestClassifier(5_estimators),0.9722878736721814
RandomForestClassifier,0.979121107446173
SVM,0.9240513726203154
MLPClassifier,0.972282679271745
rand1,0.49700598802395207
rand2,0.46506986027944114
rand3,0.4870259481037924
majoritario,0.8602794411177644
minoritario,0.13972055888223553
pessimo,0.0
otimo,1.0
