,Discriminacao,Dificuldade,Adivinhacao
V1,1.896,-1.296,0.064
V2,6.530,-0.030,0.066
V3,3.313,0.357,0.082
V4,2.768,-1.938,0.093
V5,-3.639,0.017,0.004
V6,2.768,-1.938,0.094
V7,2.768,-1.937,0.094
V8,5.965,-0.404,0.075
V9,2.768,-1.937,0.094
V10,2.769,-1.936,0.095
V11,3.199,-0.202,0.054
V12,2.769,-1.936,0.095
V13,2.769,-1.936,0.095
V14,2.769,-1.935,0.095
V15,3.709,0.108,0.068
V16,5.963,-0.404,0.076
V17,10.552,0.845,0.347
V18,2.381,-0.114,0.085
V19,3.200,-0.202,0.054
V20,2.770,-1.935,0.096
V21,2.770,-1.934,0.096
V22,5.963,-0.404,0.076
V23,5.837,0.405,0.075
V24,2.770,-1.934,0.097
V25,2.770,-1.933,0.097
V26,2.771,-1.933,0.097
V27,3.339,-0.648,0.045
V28,5.962,-0.404,0.077
V29,-1.248,-3.409,0.674
V30,10.984,0.998,0.311
V31,2.771,-1.932,0.098
V32,2.771,-1.932,0.098
V33,2.772,-1.932,0.098
V34,6.528,-0.030,0.069
V35,-0.669,-0.423,0.288
V36,3.200,-0.202,0.054
V37,5.961,-0.404,0.078
V38,3.201,-0.201,0.054
V39,2.383,-0.114,0.086
V40,0.681,1.286,0.003
V41,6.528,-0.029,0.070
V42,2.772,-1.930,0.099
V43,2.773,-1.930,0.100
V44,5.960,-0.404,0.079
V45,5.960,-0.404,0.079
V46,6.528,-0.029,0.070
V47,6.527,-0.029,0.071
V48,5.954,0.416,0.077
V49,5.960,-0.404,0.079
V50,5.959,-0.404,0.080
V51,6.951,1.090,0.096
V52,6.245,0.062,0.046
V53,2.774,-1.928,0.102
V54,4.719,0.196,0.056
V55,2.774,-1.927,0.102
V56,2.774,-1.927,0.102
V57,2.775,-1.927,0.102
V58,2.775,-1.926,0.103
V59,1.900,-1.336,0.061
V60,3.339,-0.648,0.046
V61,2.775,-1.926,0.103
V62,2.775,-1.926,0.103
V63,6.526,-0.029,0.072
V64,2.776,-1.925,0.104
V65,2.776,-1.925,0.104
V66,5.957,-0.404,0.081
V67,5.957,-0.404,0.082
V68,1.900,-1.336,0.062
V69,3.202,-0.201,0.055
V70,2.776,-1.924,0.105
V71,2.777,-1.923,0.105
V72,1.870,-1.000,0.067
V73,6.526,-0.029,0.073
V74,5.956,-0.404,0.082
V75,5.902,0.161,0.051
V76,2.777,-1.922,0.106
V77,2.778,-1.922,0.106
V78,5.956,-0.404,0.083
V79,2.158,-0.477,0.074
V80,8.188,0.554,0.108
V81,3.155,-0.294,0.063
V82,5.955,-0.404,0.083
V83,2.778,-1.921,0.107
V84,2.778,-1.921,0.107
V85,2.779,-1.920,0.108
V86,5.955,-0.403,0.084
V87,2.779,-1.920,0.108
V88,2.779,-1.919,0.108
V89,6.524,-0.028,0.074
V90,5.954,-0.403,0.084
V91,5.954,-0.403,0.085
V92,2.780,-1.918,0.110
V93,5.953,-0.403,0.085
V94,5.953,-0.403,0.085
V95,1.864,-1.385,0.056
V96,2.005,-1.203,0.060
V97,-1.913,-2.476,0.606
V98,5.953,-0.403,0.085
V99,5.953,-0.403,0.085
V100,2.781,-1.916,0.111
V101,8.715,1.283,0.315
V102,5.952,-0.403,0.086
V103,1.864,-1.385,0.056
V104,-5.361,0.238,0.003
V105,5.952,-0.403,0.086
V106,5.952,-0.403,0.086
V107,2.782,-1.915,0.112
V108,5.951,-0.403,0.086
V109,2.005,-1.203,0.060
V110,5.951,-0.403,0.087
V111,2.782,-1.914,0.113
V112,2.783,-1.914,0.113
V113,2.783,-1.913,0.113
V114,2.783,-1.913,0.114
V115,2.783,-1.913,0.114
V116,3.339,-0.648,0.046
V117,2.784,-1.912,0.114
V118,2.784,-1.912,0.115
V119,2.181,-0.703,0.068
V120,2.784,-1.912,0.115
V121,5.949,-0.403,0.088
V122,5.949,-0.403,0.088
V123,2.785,-1.911,0.116
V124,5.949,-0.403,0.089
V125,5.949,-0.403,0.089
V126,2.785,-1.910,0.117
V127,5.948,-0.403,0.089
V128,5.948,-0.403,0.089
V129,5.948,-0.403,0.090
V130,4.738,0.338,0.156
V131,2.786,-1.908,0.118
V132,5.352,0.601,0.196
V133,5.948,-0.403,0.090
V134,2.786,-1.908,0.118
V135,5.947,-0.403,0.090
V136,6.521,-0.027,0.079
V137,5.947,-0.403,0.091
V138,2.787,-1.906,0.119
V139,5.946,-0.403,0.091
V140,2.788,-1.906,0.120
V141,3.202,-0.201,0.055
V142,2.788,-1.905,0.120
V143,6.245,0.062,0.046
V144,2.788,-1.905,0.120
V145,2.788,-1.905,0.121
V146,3.203,-0.200,0.055
V147,2.788,-1.904,0.121
V148,4.550,0.077,0.059
V149,2.065,-0.482,0.059
V150,6.245,0.062,0.046
V151,3.204,-0.200,0.055
V152,2.789,-1.904,0.121
V153,5.945,-0.403,0.092
V154,-6.763,-1.121,0.794
V155,2.789,-1.903,0.122
V156,5.482,0.509,0.051
V157,1.896,-1.296,0.064
V158,5.945,-0.403,0.092
V159,5.944,-0.403,0.093
V160,5.903,0.161,0.052
V161,2.120,-0.510,0.073
V162,2.790,-1.902,0.123
V163,3.339,-0.648,0.046
V164,2.790,-1.902,0.123
V165,8.577,0.814,0.333
V166,5.944,-0.403,0.093
V167,2.790,-1.901,0.124
V168,3.204,-0.200,0.055
V169,4.110,0.029,0.055
V170,6.519,-0.027,0.082
V171,6.025,0.597,0.258
V172,2.791,-1.901,0.124
V173,5.943,-0.403,0.094
V174,2.791,-1.900,0.125
V175,2.791,-1.900,0.125
V176,2.792,-1.899,0.125
V177,2.792,-1.899,0.126
V178,5.942,-0.402,0.095
V179,6.518,-0.027,0.083
V180,2.792,-1.898,0.126
V181,2.793,-1.898,0.127
V182,2.793,-1.897,0.127
V183,1.900,-1.336,0.062
V184,3.205,-0.199,0.055
V185,1.374,-2.225,0.064
V186,5.941,-0.402,0.095
V187,2.793,-1.897,0.127
V188,2.793,-1.896,0.128
V189,2.794,-1.896,0.128
V190,2.794,-1.896,0.128
V191,7.367,0.820,0.290
V192,3.696,0.134,0.070
V193,5.940,-0.402,0.096
V194,4.720,0.196,0.056
V195,5.940,-0.402,0.096
V196,3.206,-0.199,0.056
V197,-11.622,-0.988,0.001
V198,4.550,0.077,0.059
V199,6.245,0.062,0.046
V200,5.939,-0.402,0.097
V201,-1.305,0.400,0.157
V202,6.902,0.689,0.280
V203,6.517,-0.026,0.084
V204,2.795,-1.894,0.130
V205,5.939,-0.402,0.097
V206,6.516,-0.026,0.085
V207,6.516,-0.026,0.085
V208,4.222,-0.150,0.059
V209,2.796,-1.892,0.131
V210,2.989,-0.382,0.063
V211,10.552,0.845,0.348
V212,2.254,-0.508,0.076
V213,6.516,-0.026,0.085
V214,2.796,-1.892,0.132
V215,5.938,-0.402,0.098
V216,4.720,0.196,0.057
V217,5.937,-0.402,0.098
V218,2.797,-1.891,0.133
V219,5.937,-0.402,0.099
V220,2.797,-1.890,0.133
V221,5.937,-0.402,0.099
V222,2.798,-1.889,0.134
V223,6.515,-0.026,0.086
V224,2.798,-1.889,0.134
V225,2.798,-1.888,0.135
V226,3.339,-0.648,0.046
V227,3.339,-0.648,0.046
V228,2.226,-0.394,0.075
V229,2.799,-1.888,0.135
V230,2.799,-1.888,0.135
V231,6.515,-0.026,0.087
V232,5.935,-0.402,0.100
V233,2.799,-1.887,0.136
V234,2.800,-1.886,0.136
V235,5.934,-0.402,0.101
V236,3.340,-0.648,0.046
V237,3.340,-0.648,0.047
V238,2.800,-1.886,0.137
V239,2.800,-1.885,0.137
V240,2.801,-1.885,0.138
V241,5.903,0.161,0.052
V242,2.801,-1.885,0.138
V243,2.801,-1.884,0.138
V244,2.801,-1.884,0.138
V245,4.202,0.232,0.078
V246,2.801,-1.884,0.139
V247,2.802,-1.883,0.139
V248,2.987,-0.382,0.063
V249,5.772,0.163,0.051
V250,1.177,-1.787,0.067
V251,2.802,-1.883,0.139
V252,2.802,-1.883,0.140
V253,3.206,-0.199,0.056
V254,5.932,-0.402,0.103
V255,1.864,-1.385,0.056
V256,5.932,-0.402,0.103
V257,5.932,-0.402,0.103
V258,3.399,-0.269,0.061
V259,2.803,-1.881,0.141
V260,5.931,-0.402,0.103
V261,3.711,0.108,0.069
V262,5.931,-0.402,0.104
V263,5.931,-0.402,0.104
V264,-5.077,-0.452,0.540
V265,2.620,0.323,0.080
V266,5.931,-0.402,0.104
V267,6.245,0.062,0.046
V268,6.245,0.062,0.047
V269,2.804,-1.879,0.142
V270,2.804,-1.879,0.142
V271,2.804,-1.879,0.143
V272,2.804,-1.878,0.143
V273,5.930,-0.402,0.105
V274,2.805,-1.878,0.144
V275,2.805,-1.877,0.144
V276,5.929,-0.401,0.105
V277,2.805,-1.877,0.144
V278,3.242,-0.059,0.087
V279,3.314,0.357,0.082
V280,2.806,-1.876,0.145
V281,5.929,-0.401,0.106
V282,3.399,-0.269,0.062
V283,2.806,-1.876,0.145
V284,1.887,-0.924,0.068
V285,5.928,-0.401,0.106
V286,5.928,-0.401,0.106
V287,5.928,-0.401,0.106
V288,2.807,-1.874,0.147
V289,2.807,-1.874,0.147
V290,8.578,0.814,0.334
V291,2.807,-1.874,0.147
V292,2.808,-1.873,0.147
V293,-3.053,-2.694,0.014
V294,6.510,-0.025,0.092
