Clf,Score
pessimo,343.1130279640074
majoritario,394.23408200293153
rand1,431.2433396694972
rand2,442.8461207886662
rand3,445.51565845835665
SVM,457.906176245985
GaussianNB,458.3783792029902
minoritario,460.24565945440804
KNeighborsClassifier(8),461.17228977259634
KNeighborsClassifier(5),464.93239567651943
KNeighborsClassifier(3),470.4688894132967
KNeighborsClassifier(2),471.42262030730984
BernoulliNB,476.1909781191146
RandomForestClassifier(3_estimators),477.3425324518321
DecisionTreeClassifier(),477.3483522008864
RandomForestClassifier(5_estimators),477.3483522008864
RandomForestClassifier,477.3483522008864
otimo,477.4057243967121
MLPClassifier,479.86498315972796
