Metodo,Acuracia
GaussianNB,0.7883684210526317
BernoulliNB,0.24354385964912278
KNeighborsClassifier(2),0.9457894736842107
KNeighborsClassifier(3),0.9259999999999999
KNeighborsClassifier(5),0.888877192982456
KNeighborsClassifier(8),0.8307543859649125
DecisionTreeClassifier(),0.8307368421052633
RandomForestClassifier(3_estimators),0.7988771929824561
RandomForestClassifier(5_estimators),0.8874736842105264
RandomForestClassifier,0.9405087719298246
SVM,0.6416491228070175
MLPClassifier,0.9207368421052632
rand1,0.12962962962962962
rand2,0.08641975308641975
rand3,0.10185185185185185
majoritario,0.1388888888888889
minoritario,0.09567901234567901
pessimo,0.0
otimo,1.0
