Metodo,Acuracia
GaussianNB,0.7932098765432098
BernoulliNB,0.24691358024691357
KNeighborsClassifier(2),0.9351851851851852
KNeighborsClassifier(3),0.9166666666666666
KNeighborsClassifier(5),0.8580246913580247
KNeighborsClassifier(8),0.8271604938271605
DecisionTreeClassifier(),0.8950617283950617
RandomForestClassifier(3_estimators),0.7561728395061729
RandomForestClassifier(5_estimators),0.9074074074074074
RandomForestClassifier,0.9320987654320988
SVM,0.6111111111111112
MLPClassifier,0.9290123456790124
rand1,0.12962962962962962
rand2,0.08641975308641975
rand3,0.10185185185185185
majoritario,0.1388888888888889
minoritario,0.09567901234567901
pessimo,0.0
otimo,1.0
