,Discriminacao,Dificuldade,Adivinhacao
V1,0.101,13.756,0.126
V2,-1.599,1.180,0.005
V3,-2.331,0.945,0.385
V4,-6.776,-1.910,0.071
V5,-6.072,-1.903,0.079
V6,-6.619,-1.830,0.180
V7,-0.184,-6.524,0.196
V8,-1.419,2.317,0.021
V9,0.062,23.894,0.085
V10,-1.369,2.821,0.021
V11,-2.118,0.672,0.141
V12,0.178,7.362,0.157
V13,-1.127,3.064,0.011
V14,-0.493,2.800,0.030
V15,-1.266,-0.235,0.242
V16,-7.179,-1.579,0.239
V17,-6.474,-1.643,0.032
V18,-2.899,0.869,0.375
V19,-4.642,0.948,0.313
V20,-2.210,-1.382,0.011
V21,-9.384,-1.596,0.077
V22,-1.364,-1.008,0.450
V23,-0.542,1.474,0.242
V24,-7.858,-1.543,0.186
V25,-2.190,0.568,0.185
V26,-0.491,0.795,0.019
V27,-1.632,0.771,0.015
V28,-6.064,2.419,0.064
V29,-0.343,-1.857,0.225
V30,-2.041,-2.199,0.394
V31,-2.753,1.956,0.006
V32,-1.151,-0.720,0.285
V33,-3.269,-0.774,0.022
V34,-0.183,-1.680,0.102
V35,-1.412,1.123,0.234
V36,-0.561,-0.884,0.011
V37,-1.853,2.066,0.009
V38,-4.743,0.939,0.430
V39,-2.027,0.208,0.156
V40,-0.758,-0.390,0.009
V41,-1.796,-0.929,0.140
V42,-4.169,1.176,0.265
V43,-0.476,1.366,0.048
V44,-0.429,2.624,0.117
V45,0.253,6.026,0.102
V46,-1.368,2.824,0.021
V47,-0.249,-7.157,0.197
V48,-7.901,-1.928,0.032
V49,-5.505,2.328,0.005
V50,-2.109,2.500,0.008
V51,-5.154,-1.704,0.031
V52,-2.641,1.299,0.336
V53,-1.117,1.620,0.009
V54,-1.172,0.412,0.062
V55,-2.114,-1.637,0.334
V56,-2.516,-1.043,0.333
V57,-2.376,0.818,0.288
V58,-0.536,0.732,0.046
V59,-3.592,-1.523,0.265
V60,-3.462,-1.097,0.162
V61,-1.507,0.746,0.102
V62,-4.891,-0.876,0.032
V63,-0.600,2.426,0.022
V64,-0.468,-0.714,0.013
V65,-1.281,2.847,0.010
V66,-0.575,-2.844,0.037
V67,-2.321,0.128,0.000
V68,0.392,3.023,0.061
V69,-1.533,-0.526,0.132
V70,-1.741,-2.700,0.079
V71,-2.910,-1.420,0.028
V72,-1.765,0.072,0.120
V73,-1.061,1.089,0.008
V74,-3.708,-1.612,0.224
V75,-2.738,2.708,0.000
V76,-1.873,2.592,0.008
V77,-2.195,0.455,0.158
V78,-1.109,0.002,0.214
V79,-0.768,-0.276,0.198
V80,-1.370,2.307,0.006
V81,-7.976,-1.545,0.206
V82,-1.408,-0.105,0.090
V83,-1.962,0.309,0.075
V84,-2.914,0.719,0.385
V85,-0.105,-15.191,0.340
V86,-1.382,-0.034,0.012
V87,-0.549,-0.995,0.013
V88,-2.339,0.545,0.379
V89,-1.545,1.339,0.164
V90,0.704,4.730,0.133
V91,-1.076,2.236,0.008
V92,-7.372,-1.812,0.041
V93,-2.526,0.159,0.215
V94,-0.564,-0.115,0.113
V95,-1.791,1.799,0.009
V96,-1.144,-0.762,0.155
V97,-1.530,-2.185,0.000
V98,0.090,11.464,0.088
V99,-0.420,3.303,0.087
V100,-8.196,-1.472,0.251
V101,-2.040,0.355,0.142
V102,-1.545,2.377,0.006
V103,-0.976,-0.434,0.090
V104,-1.128,1.768,0.063
V105,-2.296,0.907,0.324
V106,-1.716,1.465,0.002
V107,-2.230,-0.939,0.195
V108,-0.242,-0.725,0.059
V109,-4.746,1.104,0.463
V110,-0.941,1.027,0.103
V111,-0.782,-1.179,0.236
V112,0.063,18.496,0.086
V113,-7.302,-1.811,0.049
V114,-0.449,-1.101,0.015
V115,-8.313,-1.446,0.204
V116,-2.349,1.326,0.313
V117,-3.149,-1.266,0.495
V118,-1.645,2.651,0.023
V119,-0.817,0.718,0.003
V120,-1.477,0.994,0.076
V121,-1.384,-0.778,0.120
V122,-0.378,1.858,0.052
V123,-2.518,-0.601,0.016
V124,-3.478,0.949,0.273
V125,-1.192,2.296,0.005
V126,-0.753,-0.375,0.261
V127,-1.322,-0.856,0.215
V128,-0.074,-12.953,0.128
V129,-2.254,0.695,0.163
V130,-6.670,-1.798,0.094
V131,-3.158,0.494,0.087
V132,-0.922,1.950,0.007
V133,-2.895,-1.582,0.008
V134,-0.805,1.892,0.015
V135,-0.683,0.968,0.012
V136,-1.377,0.702,0.018
V137,-5.214,-1.815,0.197
V138,-1.677,0.484,0.272
V139,-3.701,1.276,0.211
V140,-0.791,0.002,0.002
V141,-2.011,1.963,0.006
V142,-11.211,-1.214,0.120
V143,-6.941,2.402,0.005
V144,-1.805,0.302,0.387
V145,-4.314,0.425,0.310
V146,-1.313,2.293,0.005
V147,-1.110,1.878,0.012
V148,-4.864,2.234,0.076
V149,-1.186,1.435,0.004
V150,-0.826,-0.366,0.014
V151,-1.237,-1.137,0.428
V152,-1.516,-1.116,0.497
V153,-2.078,1.314,0.103
V154,-0.026,-29.048,0.136
V155,-0.748,1.804,0.129
V156,-1.906,2.150,0.005
V157,-1.619,1.087,0.046
V158,-2.318,0.047,0.078
V159,-2.291,-0.700,0.134
V160,-5.914,-1.359,0.193
V161,-5.505,2.328,0.005
V162,-1.243,1.607,0.010
V163,-0.613,-0.404,0.178
V164,-0.170,-14.007,0.040
V165,-0.526,0.193,0.045
V166,-2.973,-1.658,0.475
V167,-0.666,0.543,0.004
V168,-8.762,-1.687,0.105
V169,-0.800,1.102,0.163
V170,-0.206,-2.581,0.127
V171,-0.811,0.929,0.016
V172,-1.412,-0.365,0.000
V173,-5.431,2.237,0.006
V174,-1.429,0.812,0.081
V175,-1.692,2.165,0.091
V176,-1.210,-0.585,0.113
V177,-1.687,-0.694,0.000
V178,-2.498,2.342,0.027
V179,-0.890,1.243,0.010
V180,-1.452,1.467,0.117
V181,-10.141,-1.598,0.126
V182,-1.512,-0.692,0.068
V183,-9.615,-1.593,0.077
V184,-9.480,-1.622,0.193
V185,-8.368,-1.625,0.263
