Clf,Score
KNeighborsClassifier(2),3.4454854389576606
KNeighborsClassifier(5),3.4454854389576606
RandomForestClassifier(3_estimators),3.4454854389576606
SVM,3.4454854389576606
MLPClassifier,3.4454854389576606
otimo,3.4454854389576606
KNeighborsClassifier(8),3.4701765506879627
DecisionTreeClassifier(),3.591212041645986
RandomForestClassifier,3.6027215655005973
KNeighborsClassifier(3),3.6215232978447025
GaussianNB,3.74016508643157
RandomForestClassifier(5_estimators),3.8147535216644015
majoritario,4.12523492964508
BernoulliNB,4.208860942769711
rand1,4.971027789714808
rand3,5.388739843049251
minoritario,5.484428293555
pessimo,5.484428293555
rand2,5.580782717273462
