Metodo,Acuracia
GaussianNB,0.5852221563981043
BernoulliNB,0.909518885537843
KNeighborsClassifier(2),0.958220235530662
KNeighborsClassifier(3),0.9607770537124802
KNeighborsClassifier(5),0.9570822562114032
KNeighborsClassifier(8),0.9481757144908805
DecisionTreeClassifier(),0.9671238151658766
RandomForestClassifier(3_estimators),0.9639028615539278
RandomForestClassifier(5_estimators),0.9700612164296999
RandomForestClassifier,0.9735675175929914
SVM,0.9351952283498493
MLPClassifier,0.9685459751543875
rand1,0.48
rand2,0.46
rand3,0.49
majoritario,0.556
minoritario,0.444
pessimo,0.0
otimo,1.0
