,Discriminacao,Dificuldade,Adivinhacao
V1,0.812,14.844,0.159
V2,-1.347,4.835,0.094
V3,-5.688,0.819,0.068
V4,-0.513,7.796,0.059
V5,-1.347,4.834,0.094
V6,-5.687,0.819,0.068
V7,-1.347,4.834,0.095
V8,-6.053,0.005,0.389
V9,-1.347,4.834,0.095
V10,-5.687,0.819,0.068
V11,-5.687,0.819,0.069
V12,-5.687,0.819,0.069
V13,-1.347,4.833,0.096
V14,-1.744,1.784,0.052
V15,-1.347,4.832,0.097
V16,-5.686,0.819,0.069
V17,-1.703,1.858,0.046
V18,-8.828,-0.191,0.412
V19,-5.686,0.819,0.069
V20,-5.686,0.819,0.069
V21,-1.347,4.832,0.098
V22,-1.347,4.831,0.098
V23,-1.347,4.831,0.098
V24,-5.685,0.819,0.070
V25,-1.347,4.831,0.099
V26,-0.528,4.841,0.069
V27,-9.718,-0.237,0.354
V28,-1.347,4.830,0.099
V29,-9.647,-0.238,0.353
V30,5.104,0.916,0.542
V31,-8.695,-0.188,0.407
V32,-5.685,0.819,0.070
V33,-5.684,0.819,0.071
V34,-2.819,-0.488,0.214
V35,-8.616,-0.193,0.414
V36,-5.684,0.819,0.071
V37,-5.684,0.819,0.071
V38,-5.684,0.819,0.071
V39,-5.684,0.819,0.071
V40,-6.006,0.004,0.393
V41,-5.684,0.819,0.071
V42,4.795,0.905,0.339
V43,-5.683,0.819,0.071
V44,-1.347,4.828,0.101
V45,-5.683,0.819,0.072
V46,-8.650,-1.103,0.048
V47,-5.683,0.819,0.072
V48,-7.587,-0.119,0.436
V49,-5.683,0.819,0.072
V50,-5.683,0.819,0.072
V51,-8.366,-1.330,0.038
V52,-5.682,0.819,0.072
V53,-5.682,0.818,0.072
V54,-5.682,0.818,0.072
V55,-1.745,1.796,0.049
V56,-1.347,4.826,0.104
V57,-9.795,-0.451,0.102
V58,-8.967,-1.109,0.045
V59,1.554,-1.446,0.131
V60,-1.347,4.826,0.104
V61,-5.682,0.818,0.073
V62,-7.300,-0.625,0.015
V63,-0.516,7.756,0.056
V64,-5.681,0.818,0.073
V65,-5.681,0.818,0.073
V66,-5.681,0.818,0.073
V67,-12.792,-0.323,0.103
V68,1.809,-0.153,0.002
V69,-1.347,4.825,0.105
V70,-1.144,0.046,0.106
V71,-5.681,0.818,0.074
V72,-1.347,4.824,0.106
V73,-9.422,-1.249,0.051
V74,-1.347,4.824,0.106
V75,-1.347,4.824,0.106
V76,-1.746,1.780,0.053
V77,1.311,-3.126,0.002
V78,-1.347,4.824,0.107
V79,-9.796,-0.451,0.102
V80,-5.680,0.818,0.074
V81,-5.680,0.818,0.074
V82,-1.347,4.823,0.107
V83,-1.347,4.823,0.108
V84,4.442,0.959,0.601
V85,-1.347,4.823,0.108
V86,-5.679,0.818,0.075
V87,-1.347,4.822,0.109
V88,-7.684,0.158,0.040
V89,-1.347,4.822,0.109
V90,-1.745,1.795,0.049
V91,-5.679,0.818,0.075
V92,-1.127,2.987,0.059
V93,-8.259,-0.187,0.397
V94,-11.646,-0.296,0.192
V95,-5.678,0.818,0.075
V96,-0.532,4.810,0.069
V97,-0.732,2.127,0.070
V98,-5.678,0.818,0.076
V99,-1.347,4.821,0.110
V100,-9.785,-0.237,0.354
V101,-5.678,0.818,0.076
V102,2.639,-1.233,0.003
V103,-12.043,-1.389,0.173
V104,-5.678,0.818,0.076
V105,-1.347,4.820,0.111
V106,-1.347,4.820,0.111
V107,-1.347,4.820,0.111
V108,-1.347,4.819,0.112
V109,-5.677,0.818,0.077
V110,-1.347,4.819,0.112
V111,-1.347,4.819,0.112
V112,-5.676,0.818,0.077
V113,-8.830,-0.191,0.413
V114,4.717,0.640,0.073
V115,-5.676,0.818,0.077
V116,-5.676,0.818,0.077
V117,-5.676,0.818,0.078
V118,21.517,-0.077,0.341
V119,-6.233,-0.012,0.420
V120,-7.971,0.021,0.044
V121,-5.676,0.818,0.078
V122,-5.676,0.818,0.078
V123,-1.347,4.817,0.114
V124,-6.501,-0.423,0.039
V125,-1.871,1.217,0.059
V126,-7.275,0.284,0.039
V127,-0.300,-5.924,0.769
V128,-5.103,-1.346,0.026
V129,-1.988,1.096,0.069
V130,-0.037,80.483,0.070
V131,-5.675,0.818,0.078
V132,-1.744,1.784,0.052
V133,-1.982,1.102,0.066
V134,-5.675,0.818,0.078
V135,-5.675,0.818,0.078
V136,-2.022,1.057,0.084
V137,-5.675,0.818,0.078
V138,-1.347,4.816,0.116
V139,2.625,-1.247,0.004
V140,-5.674,0.818,0.079
V141,-1.347,4.815,0.116
V142,-5.674,0.818,0.079
V143,-1.347,4.815,0.117
V144,-5.674,0.818,0.079
V145,-7.407,-0.113,0.426
V146,-5.674,0.818,0.079
V147,-1.126,2.990,0.059
V148,-5.673,0.818,0.080
V149,-5.673,0.818,0.080
V150,-5.673,0.818,0.080
V151,-2.906,-0.032,0.324
V152,-10.956,-0.272,0.280
V153,-7.750,-0.121,0.441
V154,-6.005,0.005,0.390
V155,-5.673,0.818,0.080
V156,-5.943,0.346,0.042
V157,-1.348,4.813,0.119
V158,-1.348,4.813,0.119
V159,-5.672,0.818,0.080
V160,-1.348,4.812,0.120
V161,-1.745,1.784,0.052
V162,-5.672,0.818,0.081
V163,-1.348,4.811,0.120
V164,-1.348,4.811,0.121
V165,-5.672,0.818,0.081
V166,-8.793,-1.334,0.042
V167,-1.348,4.811,0.121
V168,-1.348,4.810,0.121
V169,-1.348,4.810,0.122
V170,-1.348,4.810,0.122
V171,-11.196,-0.293,0.189
V172,-5.671,0.818,0.082
