Clf,Score
BernoulliNB,9.31286599476672
RandomForestClassifier(3_estimators),9.31286599476672
RandomForestClassifier(5_estimators),9.31286599476672
RandomForestClassifier,9.31286599476672
SVM,9.31286599476672
MLPClassifier,9.31286599476672
otimo,9.31286599476672
GaussianNB,21.23249029827324
KNeighborsClassifier(2),31.129388789358945
KNeighborsClassifier(3),31.129388789358945
KNeighborsClassifier(8),31.129388789358945
KNeighborsClassifier(5),31.566875813876397
DecisionTreeClassifier(),31.851542444586887
minoritario,32.94090901060585
rand1,32.94440109670436
rand2,32.97723779015363
rand3,32.97929449109578
majoritario,33.00436057083139
pessimo,33.39716287984355
