Clf,Score
pessimo,95.13821521129893
majoritario,143.04529062230634
rand3,151.28311752311154
rand2,151.92507014540075
rand1,161.453695053844
minoritario,162.38788558028315
DecisionTreeClassifier(),230.48354289805636
KNeighborsClassifier(5),235.60140103198674
KNeighborsClassifier(2),241.7333498908809
KNeighborsClassifier(3),241.7333498908809
KNeighborsClassifier(8),241.7333498908809
GaussianNB,403.33298221239585
BernoulliNB,475.11689938563075
RandomForestClassifier(3_estimators),475.11689938563075
RandomForestClassifier(5_estimators),475.11689938563075
RandomForestClassifier,475.11689938563075
SVM,475.11689938563075
MLPClassifier,475.11689938563075
otimo,475.11689938563075
