Clf,Theta
GaussianNB,0.315901645839387
BernoulliNB,-5.999271427828382
KNeighborsClassifier(2),1.7505010431262973
KNeighborsClassifier(3),1.7505010431262973
KNeighborsClassifier(5),2.112376331472237
KNeighborsClassifier(8),1.7505010431262973
DecisionTreeClassifier(),2.454667007461756
RandomForestClassifier(3_estimators),-5.999271427828382
RandomForestClassifier(5_estimators),-5.999271427828382
RandomForestClassifier,-5.999271427828382
SVM,-5.999271427828382
MLPClassifier,-5.999271427828382
rand1,4.863696403963292
rand2,5.083590870308875
rand3,5.0987621454863215
majoritario,5.300360846891091
minoritario,4.84246856378058
pessimo,13.733461978803605
otimo,-5.999271427828382
