Metodo,Acuracia
GaussianNB,0.9847165400350673
BernoulliNB,0.9098772647574519
KNeighborsClassifier(2),0.9830216247808299
KNeighborsClassifier(3),0.9898012857977789
KNeighborsClassifier(5),0.9898012857977789
KNeighborsClassifier(8),0.9898012857977789
DecisionTreeClassifier(),0.9218293395675043
RandomForestClassifier(3_estimators),0.9099064874342488
RandomForestClassifier(5_estimators),0.9302454704850964
RandomForestClassifier,0.9829924021040327
SVM,0.37776154295733494
MLPClassifier,0.9677089421391001
rand1,0.2727272727272727
rand2,0.22529644268774704
rand3,0.2490118577075099
majoritario,0.37549407114624506
minoritario,0.06719367588932806
pessimo,0.0
otimo,1.0
