Metodo,Acuracia
GaussianNB,0.9960474308300395
BernoulliNB,0.9169960474308301
KNeighborsClassifier(2),0.9920948616600791
KNeighborsClassifier(3),0.9960474308300395
KNeighborsClassifier(5),0.9920948616600791
KNeighborsClassifier(8),0.9841897233201581
DecisionTreeClassifier(),0.932806324110672
RandomForestClassifier(3_estimators),0.9051383399209486
RandomForestClassifier(5_estimators),0.9525691699604744
RandomForestClassifier,0.9762845849802372
SVM,0.37549407114624506
MLPClassifier,0.9841897233201581
rand1,0.2727272727272727
rand2,0.22529644268774704
rand3,0.2490118577075099
majoritario,0.37549407114624506
minoritario,0.06719367588932806
pessimo,0.0
otimo,1.0
