Clf,Score
SVM,202.70804166728598
rand1,202.70804166728598
rand2,202.70804166728598
rand3,202.70804166728598
majoritario,202.70804166728598
pessimo,202.70804166728598
RandomForestClassifier(3_estimators),219.0962963449506
minoritario,223.61129185304355
DecisionTreeClassifier(),225.26726573985164
BernoulliNB,238.91008893718495
GaussianNB,244.59249693884527
KNeighborsClassifier(2),244.59249693884527
KNeighborsClassifier(3),244.59249693884527
KNeighborsClassifier(5),244.59249693884527
KNeighborsClassifier(8),244.59249693884527
RandomForestClassifier(5_estimators),244.59249693884527
RandomForestClassifier,244.59249693884527
MLPClassifier,244.59249693884527
otimo,244.59249693884527
