Clf,Score
SVM,202.70804166728584
rand1,202.70804166728584
rand2,202.70804166728584
rand3,202.70804166728584
majoritario,202.70804166728584
pessimo,202.70804166728584
RandomForestClassifier(3_estimators),219.09629634495073
minoritario,223.61129185304378
DecisionTreeClassifier(),225.26726573985167
BernoulliNB,238.91008893718507
GaussianNB,244.5924969388453
KNeighborsClassifier(2),244.5924969388453
KNeighborsClassifier(3),244.5924969388453
KNeighborsClassifier(5),244.5924969388453
KNeighborsClassifier(8),244.5924969388453
RandomForestClassifier(5_estimators),244.5924969388453
RandomForestClassifier,244.5924969388453
MLPClassifier,244.5924969388453
otimo,244.5924969388453
