Clf,Theta
GaussianNB,0.09328267563825209
BernoulliNB,-0.293173282064078
KNeighborsClassifier(2),0.09328267563825209
KNeighborsClassifier(3),0.09328267563825209
KNeighborsClassifier(5),0.09328267563825209
KNeighborsClassifier(8),0.09328267563825209
DecisionTreeClassifier(),-0.698018241412627
RandomForestClassifier(3_estimators),-0.8059619797212118
RandomForestClassifier(5_estimators),0.09328267563825209
RandomForestClassifier,0.09328267563825209
SVM,-1.0252855500344997
MLPClassifier,0.09328267563825209
rand1,-1.0252855500344997
rand2,-1.0252855500344997
rand3,-1.0252855500344997
majoritario,-1.0252855500344997
minoritario,-0.7292693466168231
pessimo,-1.0252855500344997
otimo,0.09328267563825209
