Metodo,Acuracia
GaussianNB,0.21185064935064934
BernoulliNB,0.1939285714285714
KNeighborsClassifier(2),0.18129870129870126
KNeighborsClassifier(3),0.1616233766233766
KNeighborsClassifier(5),0.16353896103896104
KNeighborsClassifier(8),0.17616883116883117
DecisionTreeClassifier(),0.1687012987012987
RandomForestClassifier(3_estimators),0.17243506493506494
RandomForestClassifier(5_estimators),0.2136038961038961
RandomForestClassifier,0.18126623376623377
SVM,0.1866233766233766
MLPClassifier,0.2225324675324675
rand1,0.2
rand2,0.19583333333333333
rand3,0.16666666666666666
majoritario,0.19583333333333333
minoritario,0.15416666666666667
pessimo,0.0
otimo,1.0
