Metodo,Acuracia
GaussianNB,0.20416666666666666
BernoulliNB,0.17916666666666667
KNeighborsClassifier(2),0.1625
KNeighborsClassifier(3),0.175
KNeighborsClassifier(5),0.19166666666666668
KNeighborsClassifier(8),0.22083333333333333
DecisionTreeClassifier(),0.17916666666666667
RandomForestClassifier(3_estimators),0.19583333333333333
RandomForestClassifier(5_estimators),0.16666666666666666
RandomForestClassifier,0.175
SVM,0.2125
MLPClassifier,0.20833333333333334
rand1,0.2
rand2,0.19583333333333333
rand3,0.16666666666666666
majoritario,0.19583333333333333
minoritario,0.15416666666666667
pessimo,0.0
otimo,1.0
