,Discriminacao,Dificuldade,Adivinhacao
V1,1.187,3.667,0.000
V2,0.086,7.488,0.050
V3,-0.325,0.646,0.005
V4,1.564,3.350,0.000
V5,2.826,2.883,0.000
V6,-0.041,-199.801,0.000
V7,1.006,3.379,0.000
V8,0.744,4.752,0.000
V9,0.679,4.254,0.057
V10,1.909,3.261,0.000
V11,4.033,2.603,0.025
V12,-0.080,-8.630,0.057
V13,0.842,5.225,0.000
V14,-0.041,-199.801,0.000
V15,-0.081,-8.453,0.057
V16,1.101,4.332,0.000
V17,2.724,2.776,0.000
V18,-2.595,1.702,0.005
V19,3.905,2.500,0.000
V20,11.803,2.290,0.000
V21,-3.763,1.263,0.092
V22,1.173,3.895,0.000
V23,-0.099,-24.905,0.063
V24,-0.732,-1.476,0.183
V25,1.955,3.058,0.000
V26,-0.469,0.418,0.008
V27,1.219,3.285,0.000
V28,-0.330,0.793,0.014
V29,1.125,3.434,0.000
V30,1.113,2.371,0.000
V31,-2.151,1.275,0.051
V32,0.694,1.344,0.000
V33,1.016,3.822,0.000
V34,0.928,3.300,0.000
V35,1.707,2.543,0.000
V36,2.664,2.678,0.000
V37,0.477,4.268,0.000
V38,-18.344,-1.719,0.159
V39,1.506,3.094,0.000
V40,-2.595,1.702,0.005
V41,0.215,7.777,0.011
V42,0.638,3.381,0.000
V43,1.566,3.347,0.000
V44,-0.615,-2.516,0.002
V45,-0.468,0.418,0.008
V46,0.486,5.009,0.001
V47,1.865,3.534,0.000
V48,-2.555,1.704,0.005
V49,1.223,4.414,0.000
V50,1.030,1.662,0.000
V51,1.911,3.259,0.000
V52,-1.265,1.982,0.005
V53,9.030,2.131,0.009
V54,0.851,5.690,0.000
V55,2.819,2.885,0.000
V56,1.807,3.983,0.000
V57,0.218,1.164,0.006
V58,0.731,6.413,0.000
V59,-1.262,-4.636,0.061
V60,1.707,2.543,0.000
V61,5.465,2.597,0.000
V62,0.188,4.481,0.016
V63,-0.916,2.121,0.009
V64,-18.326,-1.719,0.159
V65,-1.352,-3.076,0.134
V66,-9.678,-2.366,0.081
V67,1.031,3.987,0.000
V68,1.865,3.533,0.000
V69,-1.194,0.993,0.007
V70,0.879,4.713,0.000
V71,1.311,2.476,0.000
V72,3.905,2.500,0.000
V73,1.156,3.883,0.014
V74,-2.211,1.378,0.001
V75,-10.211,0.801,0.293
V76,0.627,6.644,0.001
V77,0.902,6.176,0.000
V78,-0.041,-199.801,0.000
V79,1.186,2.968,0.000
V80,0.851,5.690,0.000
V81,-1.347,-1.737,0.147
V82,1.862,3.537,0.000
V83,1.833,3.963,0.000
V84,-12.217,-0.496,0.434
V85,-0.143,-7.884,0.049
V86,2.826,2.883,0.000
V87,-6.979,0.942,0.157
V88,1.120,3.176,0.000
V89,1.025,3.341,0.000
V90,-2.775,1.490,0.136
V91,0.731,6.413,0.000
V92,-3.506,0.856,0.431
V93,0.425,6.329,0.001
V94,-10.206,0.801,0.293
V95,-1.267,-4.627,0.061
V96,2.826,2.883,0.000
V97,1.093,2.392,0.000
V98,-11.420,-1.241,0.129
V99,-0.446,-2.638,0.028
V100,-2.211,1.378,0.001
V101,1.250,4.354,0.000
V102,5.465,2.597,0.000
V103,-1.253,-1.211,0.180
V104,1.418,3.737,0.000
V105,2.819,2.885,0.000
V106,0.891,3.517,0.000
V107,5.465,2.597,0.000
V108,1.753,4.020,0.000
V109,0.851,3.372,0.000
V110,-0.370,1.111,0.026
V111,1.003,3.677,0.000
V112,1.058,4.604,0.019
V113,1.422,3.045,0.000
V114,11.820,2.289,0.000
V115,1.498,3.633,0.000
V116,9.761,2.684,0.000
V117,1.420,3.733,0.000
V118,0.150,-0.051,0.004
V119,-0.228,-11.296,0.005
V120,0.110,8.384,0.022
V121,-2.038,0.531,0.178
V122,-18.361,-1.044,0.238
V123,1.441,3.316,0.001
V124,1.753,4.020,0.000
V125,-1.440,-0.834,0.268
V126,1.695,2.728,0.000
V127,1.158,2.558,0.000
V128,0.311,9.123,0.007
V129,0.083,-1.626,0.006
V130,-4.052,-2.758,0.157
V131,1.862,3.537,0.000
V132,1.565,3.350,0.000
V133,1.807,3.983,0.000
V134,-9.849,0.889,0.294
V135,5.465,2.597,0.000
V136,1.250,4.354,0.000
V137,0.448,1.069,0.001
V138,1.711,4.117,0.000
V139,-1.386,-1.404,0.368
V140,0.852,5.678,0.000
V141,2.856,2.877,0.000
V142,-0.091,-24.678,0.096
V143,1.527,2.262,0.000
V144,1.860,3.538,0.000
V145,1.111,2.375,0.000
V146,11.820,2.289,0.000
V147,3.540,2.905,0.000
V148,0.213,8.361,0.011
V149,0.087,7.343,0.047
V150,1.753,4.020,0.000
V151,0.719,4.641,0.000
V152,-1.083,0.539,0.001
V153,-9.806,0.660,0.245
V154,1.547,3.366,0.000
V155,-0.553,-1.048,0.001
V156,-1.306,-3.323,0.142
V157,1.498,3.633,0.000
V158,2.825,2.883,0.000
V159,-18.308,-1.719,0.159
V160,1.245,3.119,0.000
V161,-0.168,-4.570,0.016
V162,-2.146,-0.544,0.114
V163,-2.318,1.487,0.011
V164,0.486,5.009,0.001
V165,-0.041,-199.801,0.000
V166,1.243,2.800,0.000
V167,-0.579,0.158,0.015
V168,-3.503,0.858,0.431
V169,0.328,13.895,0.004
V170,1.865,3.534,0.000
V171,0.452,2.926,0.001
V172,0.015,50.510,0.030
V173,1.274,3.965,0.000
V174,0.569,5.649,0.009
V175,-0.446,-2.637,0.028
V176,-0.463,-1.392,0.014
V177,2.825,2.883,0.000
V178,-0.941,-0.516,0.001
V179,0.173,10.198,0.020
V180,9.058,2.128,0.000
V181,3.662,2.890,0.000
V182,-0.080,-8.632,0.058
V183,-2.595,1.702,0.005
V184,-2.009,1.189,0.007
V185,0.264,16.877,0.003
V186,0.388,3.451,0.001
V187,-0.041,-199.801,0.000
V188,1.912,3.259,0.000
V189,1.360,3.244,0.000
V190,1.568,3.345,0.000
V191,1.753,4.020,0.000
V192,3.095,1.970,0.000
V193,2.020,2.887,0.000
V194,0.426,4.189,0.005
V195,1.639,2.669,0.000
V196,9.029,2.131,0.009
V197,1.581,2.056,0.000
V198,1.439,3.708,0.000
V199,-0.131,-12.850,0.039
V200,1.860,3.539,0.000
V201,-0.041,-199.801,0.000
V202,0.096,18.279,0.064
V203,-2.211,1.378,0.001
V204,1.856,3.542,0.000
V205,1.862,3.537,0.000
V206,1.957,2.108,0.000
V207,-4.283,-2.916,0.140
V208,1.753,4.020,0.000
V209,4.229,2.564,0.000
V210,-0.179,-7.163,0.033
V211,0.657,1.708,0.000
V212,1.400,2.744,0.000
V213,1.090,2.400,0.000
V214,-1.440,-0.834,0.268
V215,-10.249,0.690,0.216
V216,-9.810,0.660,0.245
V217,11.820,2.289,0.000
V218,9.598,2.188,0.233
V219,1.513,3.087,0.000
V220,6.602,2.225,0.054
V221,1.775,3.996,0.000
V222,1.856,3.542,0.000
V223,1.527,2.262,0.000
V224,7.299,2.850,0.000
V225,7.299,2.850,0.000
V226,0.142,17.785,0.024
V227,1.753,4.020,0.000
V228,-0.322,0.654,0.005
V229,-2.009,1.189,0.006
V230,1.538,2.831,0.000
V231,5.465,2.597,0.000
V232,0.380,13.315,0.023
V233,0.921,3.205,0.000
V234,2.864,2.875,0.000
V235,1.187,3.659,0.000
V236,2.192,2.613,0.000
V237,-0.208,-6.746,0.047
V238,-9.677,-2.366,0.081
V239,9.028,2.131,0.009
V240,-0.680,2.317,0.015
