Clf,Score
KNeighborsClassifier(2),5.435115298664278
DecisionTreeClassifier(),5.435115298664278
RandomForestClassifier(5_estimators),5.435115298664278
pessimo,5.435115298664278
MLPClassifier,8.142074862844725
BernoulliNB,9.480775784633002
rand2,11.65321742463062
KNeighborsClassifier(5),19.27214091461546
GaussianNB,21.826667820618493
KNeighborsClassifier(8),50.113131778632
RandomForestClassifier(3_estimators),51.74134094518678
RandomForestClassifier,51.74134094518678
SVM,51.74134094518678
rand1,87.1184077053511
KNeighborsClassifier(3),87.74422690534404
minoritario,88.12294113838246
majoritario,97.1441373619795
rand3,98.49767870469707
otimo,160.47414862666602
