Clf,Score
KNeighborsClassifier(5),39.84694752879862
GaussianNB,40.95503282494633
rand2,42.21054179552477
BernoulliNB,46.54481993632894
MLPClassifier,47.61252628212169
KNeighborsClassifier(2),53.5828265086754
DecisionTreeClassifier(),53.5828265086754
RandomForestClassifier(5_estimators),53.5828265086754
pessimo,53.5828265086754
KNeighborsClassifier(8),64.64334279105205
RandomForestClassifier(3_estimators),66.129262541995
RandomForestClassifier,66.129262541995
SVM,66.129262541995
rand1,99.3505775578111
KNeighborsClassifier(3),99.94553891091502
minoritario,100.3056702416667
majoritario,108.90331049920073
rand3,110.1961437995693
otimo,167.97385799512313
