Metodo,Acuracia
GaussianNB,0.8993657505285413
BernoulliNB,0.4097780126849894
KNeighborsClassifier(2),0.7712473572938687
KNeighborsClassifier(3),0.810306553911205
KNeighborsClassifier(5),0.8468816067653278
KNeighborsClassifier(8),0.8766384778012686
DecisionTreeClassifier(),0.7733615221987316
RandomForestClassifier(3_estimators),0.7894820295983087
RandomForestClassifier(5_estimators),0.8283826638477801
RandomForestClassifier,0.8191860465116279
SVM,0.8971458773784355
MLPClassifier,0.9108350951374208
rand1,0.32978723404255317
rand2,0.3404255319148936
rand3,0.324468085106383
majoritario,0.4574468085106383
minoritario,0.0797872340425532
pessimo,0.0
otimo,1.0
