Metodo,Acuracia
GaussianNB,0.8723404255319149
BernoulliNB,0.4574468085106383
KNeighborsClassifier(2),0.824468085106383
KNeighborsClassifier(3),0.8457446808510638
KNeighborsClassifier(5),0.8670212765957447
KNeighborsClassifier(8),0.8723404255319149
DecisionTreeClassifier(),0.7819148936170213
RandomForestClassifier(3_estimators),0.7925531914893617
RandomForestClassifier(5_estimators),0.8138297872340425
RandomForestClassifier,0.7978723404255319
SVM,0.8776595744680851
MLPClassifier,0.9042553191489362
rand1,0.32978723404255317
rand2,0.3404255319148936
rand3,0.324468085106383
majoritario,0.4574468085106383
minoritario,0.0797872340425532
pessimo,0.0
otimo,1.0
