,Discriminacao,Dificuldade,Adivinhacao
V1,3.280,-0.543,0.377
V2,2.857,-2.341,0.066
V3,-6.116,-2.556,0.001
V4,1.706,-1.932,0.093
V5,2.963,-1.961,0.120
V6,4.216,-1.785,0.046
V7,2.826,-1.998,0.101
V8,0.893,3.241,0.336
V9,2.532,-2.111,0.068
V10,3.797,-1.909,0.042
V11,2.482,-2.213,0.101
V12,3.243,-2.036,0.065
V13,2.859,-2.340,0.066
V14,2.361,-2.258,0.077
V15,4.711,0.895,0.361
V16,-2.649,-2.634,0.001
V17,2.346,-2.051,0.128
V18,2.944,-1.103,0.228
V19,2.860,-2.339,0.067
V20,4.454,-1.996,0.041
V21,3.582,-1.190,0.216
V22,2.589,-1.715,0.087
V23,6.627,-0.540,0.373
V24,0.453,0.137,0.216
V25,2.862,-2.338,0.067
V26,3.609,-1.902,0.057
V27,-0.689,-4.646,0.180
V28,2.348,-2.050,0.129
V29,2.872,-1.931,0.080
V30,3.619,-1.900,0.060
V31,5.705,-0.694,0.255
V32,4.454,-1.995,0.042
V33,3.958,-2.119,0.050
V34,4.391,-0.505,0.402
V35,2.267,-1.765,0.076
V36,2.863,-2.338,0.068
V37,3.243,-2.036,0.065
V38,1.384,-2.211,0.126
V39,1.987,-1.990,0.142
V40,3.611,-1.902,0.052
V41,6.655,-0.539,0.373
V42,2.693,-1.558,0.108
V43,3.336,-1.254,0.183
V44,3.173,-1.431,0.099
V45,5.924,-0.367,0.489
V46,1.984,-1.992,0.137
V47,-0.723,-2.874,0.013
V48,3.620,-1.900,0.060
V49,4.488,-0.254,0.375
V50,1.986,-1.440,0.137
V51,-6.468,-2.317,0.001
V52,4.455,-1.995,0.042
V53,2.815,-1.947,0.063
V54,3.609,-1.901,0.057
V55,4.455,-1.995,0.042
V56,3.243,-2.036,0.065
V57,2.038,-1.823,0.155
V58,4.455,-1.995,0.042
V59,3.957,-2.119,0.051
V60,3.243,-2.036,0.066
V61,4.753,-1.994,0.039
V62,3.129,-1.792,0.071
V63,3.346,0.312,0.508
V64,4.753,-1.994,0.039
V65,2.047,-1.820,0.079
V66,4.455,-1.995,0.043
V67,2.059,-1.084,0.223
V68,3.243,-2.036,0.066
V69,-6.116,-2.556,0.001
V70,2.700,-1.554,0.112
V71,4.093,-1.890,0.255
V72,2.732,-0.777,0.424
V73,4.455,-1.995,0.043
V74,3.957,-2.119,0.051
V75,4.754,-1.994,0.039
V76,-1.386,-2.298,0.001
V77,3.380,-2.076,0.208
V78,1.988,-1.987,0.142
V79,2.483,-2.212,0.102
V80,3.620,-1.900,0.061
V81,2.973,-0.908,0.389
V82,-3.474,-2.708,0.005
V83,2.332,-2.011,0.078
V84,3.610,-1.901,0.058
V85,3.798,-1.908,0.043
V86,1.537,-1.719,0.201
V87,1.429,-0.692,0.371
V88,2.485,-2.211,0.102
V89,3.815,-1.356,0.172
V90,3.819,-1.699,0.310
V91,3.610,-1.901,0.058
V92,3.243,-2.035,0.066
V93,2.486,-2.210,0.103
V94,4.806,-0.278,0.355
V95,2.502,-1.384,0.108
V96,-6.468,-2.317,0.001
V97,3.957,-2.119,0.051
V98,2.870,-1.932,0.081
V99,4.096,-1.889,0.256
V100,6.224,-1.049,0.172
V101,4.964,-1.872,0.080
V102,2.865,-2.337,0.069
V103,-5.583,-2.349,0.001
V104,5.110,-1.151,0.170
V105,4.455,-1.995,0.043
V106,3.200,-1.802,0.059
V107,5.706,-0.694,0.255
V108,-1.666,-9.241,0.001
V109,5.115,-1.150,0.170
V110,2.250,-1.776,0.083
V111,3.610,-1.901,0.058
V112,4.455,-1.995,0.044
V113,2.830,-1.996,0.102
V114,4.396,-1.616,0.276
V115,3.798,-1.908,0.043
V116,4.959,-1.872,0.080
V117,6.227,-1.049,0.172
V118,1.760,-1.398,0.148
V119,5.127,-0.685,0.356
V120,2.872,-1.931,0.080
V121,-5.583,-2.349,0.001
V122,0.920,-1.503,0.176
V123,-1.275,-3.078,0.001
V124,3.430,-2.085,0.088
V125,2.866,-2.336,0.069
V126,2.700,-1.556,0.109
V127,3.201,-1.802,0.060
V128,3.728,0.885,0.423
V129,2.585,-1.722,0.082
V130,3.243,-2.035,0.067
V131,3.610,-1.901,0.059
V132,3.755,-1.371,0.165
V133,3.243,-2.035,0.067
V134,6.502,-0.269,0.406
V135,3.620,-1.900,0.061
V136,3.286,-1.788,0.074
V137,3.148,-1.787,0.074
V138,6.150,-0.664,0.316
V139,4.100,-0.921,0.299
V140,3.610,-1.901,0.059
