Clf,Score
BernoulliNB,142.29162851970727
DecisionTreeClassifier(),142.29162851970727
rand1,142.29162851970727
rand2,142.29162851970727
rand3,142.29162851970727
majoritario,142.29162851970727
minoritario,142.29162851970727
pessimo,142.29162851970727
RandomForestClassifier(3_estimators),148.3610583629906
RandomForestClassifier(5_estimators),148.64432564675226
RandomForestClassifier,150.12663280256913
KNeighborsClassifier(2),154.36955698032432
GaussianNB,157.95955173010478
KNeighborsClassifier(3),157.95955173010478
KNeighborsClassifier(5),157.95955173010478
KNeighborsClassifier(8),157.95955173010478
SVM,157.95955173010478
MLPClassifier,157.95955173010478
otimo,157.95955173010478
