Clf,Score
BernoulliNB,143.68069880861793
DecisionTreeClassifier(),143.68069880861793
rand1,143.68069880861793
rand2,143.68069880861793
rand3,143.68069880861793
majoritario,143.68069880861793
minoritario,143.68069880861793
pessimo,143.68069880861793
RandomForestClassifier(3_estimators),149.56410855431434
RandomForestClassifier(5_estimators),149.83869171193817
RandomForestClassifier,151.27550631123108
KNeighborsClassifier(2),155.38425207801345
GaussianNB,158.84082166709086
KNeighborsClassifier(3),158.84082166709086
KNeighborsClassifier(5),158.84082166709086
KNeighborsClassifier(8),158.84082166709086
SVM,158.84082166709086
MLPClassifier,158.84082166709086
otimo,158.84082166709086
