Clf,Theta
GaussianNB,-0.17158049736238906
BernoulliNB,-0.9134284624941453
KNeighborsClassifier(2),-0.41377633931745933
KNeighborsClassifier(3),-0.17158049736238906
KNeighborsClassifier(5),-0.17158049736238906
KNeighborsClassifier(8),-0.17158049736238906
DecisionTreeClassifier(),-0.9134284624941453
RandomForestClassifier(3_estimators),-0.6909023472891233
RandomForestClassifier(5_estimators),-0.6794184652118386
RandomForestClassifier,-0.6174102842583528
SVM,-0.17158049736238906
MLPClassifier,-0.17158049736238906
rand1,-0.9134284624941453
rand2,-0.9134284624941453
rand3,-0.9134284624941453
majoritario,-0.9134284624941453
minoritario,-0.9134284624941453
pessimo,-0.9134284624941453
otimo,-0.17158049736238906
