Metodo,Acuracia
GaussianNB,0.840625
BernoulliNB,0.85
KNeighborsClassifier(2),1.0
KNeighborsClassifier(3),1.0
KNeighborsClassifier(5),0.9989583333333334
KNeighborsClassifier(8),1.0
DecisionTreeClassifier(),0.9864583333333334
RandomForestClassifier(3_estimators),0.9875
RandomForestClassifier(5_estimators),0.9885416666666668
RandomForestClassifier,0.99375
SVM,1.0
MLPClassifier,1.0
rand1,0.4733009708737864
rand2,0.5121359223300971
rand3,0.4830097087378641
majoritario,0.5558252427184466
minoritario,0.4441747572815534
pessimo,0.0
otimo,1.0
