,Discriminacao,Dificuldade,Adivinhacao
V1,10.684,0.072,0.200
V2,2.937,-0.854,0.179
V3,4.897,-0.135,0.187
V4,1.891,-2.226,0.088
V5,4.761,-1.439,0.191
V6,4.734,-1.257,0.061
V7,4.734,-1.257,0.062
V8,2.838,-1.570,0.083
V9,3.106,-0.808,0.192
V10,3.011,-2.334,0.057
V11,5.699,-1.726,0.046
V12,3.011,-2.334,0.057
V13,3.011,-2.333,0.057
V14,4.762,-1.439,0.191
V15,5.699,-1.726,0.046
V16,2.352,-2.074,0.078
V17,3.408,-2.153,0.263
V18,1.419,-2.916,0.089
V19,1.965,-1.875,0.104
V20,3.659,-0.593,0.211
V21,1.505,-2.437,0.101
V22,2.942,-2.569,0.293
V23,3.874,-1.871,0.232
V24,2.011,-1.292,0.157
V25,2.940,-2.569,0.294
V26,2.162,-1.650,0.098
V27,1.419,-2.916,0.089
V28,3.011,-2.333,0.057
V29,3.255,-1.763,0.072
V30,4.764,-1.436,0.193
V31,1.892,-2.225,0.088
V32,4.764,-1.435,0.193
V33,1.966,-1.874,0.104
V34,3.275,-1.341,0.090
V35,3.631,-1.759,0.063
V36,2.938,-2.568,0.297
V37,2.263,-1.899,0.079
V38,3.439,-0.885,0.130
V39,2.263,-1.898,0.079
V40,2.088,-1.478,0.111
V41,2.550,-1.781,0.087
V42,3.011,-2.333,0.058
V43,4.734,-1.257,0.062
V44,2.418,-1.404,0.135
V45,1.642,-1.443,0.131
V46,2.421,-1.402,0.136
V47,3.392,-1.100,0.141
V48,1.695,-1.348,0.146
V49,3.682,-0.344,0.221
V50,2.417,-1.280,0.099
V51,2.937,-2.568,0.297
V52,2.575,-1.429,0.090
V53,4.765,-1.434,0.195
V54,4.765,-1.433,0.195
V55,2.353,-2.073,0.078
V56,5.699,-1.726,0.046
V57,4.735,-1.257,0.062
V58,2.935,-2.568,0.299
V59,3.874,-1.867,0.237
V60,5.699,-1.726,0.047
V61,3.448,-1.954,0.065
V62,3.011,-2.333,0.058
V63,2.016,-1.288,0.157
V64,5.699,-1.726,0.047
V65,2.807,-2.104,0.065
V66,1.552,-2.427,0.094
V67,2.417,-1.280,0.099
V68,3.867,-0.455,0.144
V69,5.699,-1.726,0.047
V70,5.699,-1.726,0.047
V71,3.406,-2.147,0.271
V72,3.764,-0.455,0.183
V73,1.454,-2.176,0.112
V74,5.699,-1.726,0.047
V75,4.735,-1.257,0.062
V76,2.933,-2.567,0.302
V77,2.932,-2.567,0.302
V78,2.932,-2.567,0.303
V79,6.554,0.092,0.279
V80,2.838,-1.570,0.083
V81,3.448,-1.954,0.066
V82,4.382,-1.561,0.239
V83,4.768,-1.429,0.198
V84,5.699,-1.726,0.048
V85,2.417,-1.280,0.100
V86,3.263,1.052,0.269
V87,2.144,-1.853,0.094
V88,3.158,-0.799,0.193
V89,2.838,-1.569,0.083
V90,3.999,-0.219,0.229
V91,10.681,0.072,0.200
V92,2.052,-1.590,0.117
V93,5.699,-1.726,0.048
V94,3.874,-1.863,0.241
V95,1.967,-1.873,0.104
V96,2.125,-1.345,0.135
V97,5.699,-1.726,0.048
V98,4.768,-1.427,0.199
V99,2.928,-2.566,0.307
V100,2.551,-1.781,0.087
V101,4.250,-0.225,0.152
V102,3.874,-1.862,0.243
V103,5.699,-1.725,0.048
V104,2.424,-1.401,0.136
V105,4.735,-1.257,0.062
