Clf,Score
GaussianNB,353.9117663416807
pessimo,353.9117663416807
rand1,362.7807249261503
BernoulliNB,367.53725905731244
majoritario,369.12253701893843
rand3,376.5335176419325
rand2,380.6085252186935
minoritario,383.81227492594434
DecisionTreeClassifier(),403.5532392122226
RandomForestClassifier(3_estimators),403.6986567917265
KNeighborsClassifier(2),409.6050067441992
KNeighborsClassifier(3),409.6050067441992
KNeighborsClassifier(5),409.6050067441992
KNeighborsClassifier(8),409.6050067441992
RandomForestClassifier(5_estimators),409.6050067441992
RandomForestClassifier,409.6050067441992
SVM,409.6050067441992
MLPClassifier,409.6050067441992
otimo,409.6050067441992
