Clf,Score
GaussianNB,353.91176634168147
pessimo,353.91176634168147
rand1,362.78072492615064
BernoulliNB,367.5372590573125
majoritario,369.12253701893746
rand3,376.5335176419326
rand2,380.6085252186936
minoritario,383.81227492594445
DecisionTreeClassifier(),403.55323921222293
RandomForestClassifier(3_estimators),403.69865679172574
KNeighborsClassifier(2),409.6050067441988
KNeighborsClassifier(3),409.6050067441988
KNeighborsClassifier(5),409.6050067441988
KNeighborsClassifier(8),409.6050067441988
RandomForestClassifier(5_estimators),409.6050067441988
RandomForestClassifier,409.6050067441988
SVM,409.6050067441988
MLPClassifier,409.6050067441988
otimo,409.6050067441988
