Clf,Theta
GaussianNB,-0.7485711846489357
BernoulliNB,-0.5089027859029932
KNeighborsClassifier(2),0.9125669160053121
KNeighborsClassifier(3),0.9125669160053121
KNeighborsClassifier(5),0.9125669160053121
KNeighborsClassifier(8),0.9125669160053121
DecisionTreeClassifier(),0.4623576017942614
RandomForestClassifier(3_estimators),0.47019052282493007
RandomForestClassifier(5_estimators),0.9125669160053121
RandomForestClassifier,0.9125669160053121
SVM,0.9125669160053121
MLPClassifier,0.9125669160053121
rand1,-0.6007716735704186
rand2,-0.210287900328369
rand3,-0.30967977215061526
majoritario,-0.47618982539666344
minoritario,-0.13054660937150378
pessimo,-0.7485711846489357
otimo,0.9125669160053121
