Metodo,Acuracia
GaussianNB,0.7360304789550073
BernoulliNB,0.7630986937590711
KNeighborsClassifier(2),0.7534470246734397
KNeighborsClassifier(3),0.7304426705370102
KNeighborsClassifier(5),0.7629535558780842
KNeighborsClassifier(8),0.7611756168359942
DecisionTreeClassifier(),0.7113207547169813
RandomForestClassifier(3_estimators),0.7113207547169813
RandomForestClassifier(5_estimators),0.7113207547169812
RandomForestClassifier,0.743722786647315
SVM,0.7496371552975327
MLPClassifier,0.7230043541364297
rand1,0.5066666666666667
rand2,0.5155555555555555
rand3,0.43555555555555553
majoritario,0.76
minoritario,0.24
pessimo,0.0
otimo,1.0
