Metodo,Acuracia
GaussianNB,0.7911111111111111
BernoulliNB,0.76
KNeighborsClassifier(2),0.7822222222222223
KNeighborsClassifier(3),0.7777777777777778
KNeighborsClassifier(5),0.7733333333333333
KNeighborsClassifier(8),0.7555555555555555
DecisionTreeClassifier(),0.68
RandomForestClassifier(3_estimators),0.7422222222222222
RandomForestClassifier(5_estimators),0.7777777777777778
RandomForestClassifier,0.7733333333333333
SVM,0.7644444444444445
MLPClassifier,0.76
rand1,0.5066666666666667
rand2,0.5155555555555555
rand3,0.43555555555555553
majoritario,0.76
minoritario,0.24
pessimo,0.0
otimo,1.0
