Clf,Score
RandomForestClassifier,157.07550661412466
minoritario,157.07550661412466
otimo,160.48687159156907
RandomForestClassifier(3_estimators),160.8890564570816
RandomForestClassifier(5_estimators),161.18799913036278
KNeighborsClassifier(5),162.10220418126656
KNeighborsClassifier(3),163.0962287176658
DecisionTreeClassifier(),163.62667374942407
rand1,163.97721294381842
GaussianNB,164.1509943510655
rand3,164.92687629898128
KNeighborsClassifier(2),165.81812977254327
rand2,165.99062113506423
SVM,166.6881332303483
pessimo,167.9515890850579
BernoulliNB,168.69856516569106
KNeighborsClassifier(8),168.69856516569106
MLPClassifier,168.69856516569106
majoritario,168.69856516569106
