Clf,Score
BernoulliNB,173.3341299381286
KNeighborsClassifier(8),173.3341299381286
MLPClassifier,173.3341299381286
majoritario,173.3341299381286
pessimo,174.45438307260915
SVM,175.94760436336344
rand2,176.6219137741624
KNeighborsClassifier(2),176.77439646950842
rand3,177.4737311859515
GaussianNB,177.96228138388173
rand1,178.05660932255873
DecisionTreeClassifier(),178.23048574775837
KNeighborsClassifier(3),178.4530832944228
RandomForestClassifier,178.48420538811618
minoritario,178.48420538811618
KNeighborsClassifier(5),178.74633057581084
RandomForestClassifier(5_estimators),178.8844374436088
RandomForestClassifier(3_estimators),178.90431282346148
otimo,178.91287332437588
