Metodo,Acuracia
GaussianNB,0.9610969387755102
BernoulliNB,0.6544217687074829
KNeighborsClassifier(2),0.9447704081632653
KNeighborsClassifier(3),0.9733418367346939
KNeighborsClassifier(5),0.9692602040816325
KNeighborsClassifier(8),0.965221088435374
DecisionTreeClassifier(),0.9407312925170069
RandomForestClassifier(3_estimators),0.9569727891156463
RandomForestClassifier(5_estimators),0.9611394557823129
RandomForestClassifier,0.9610544217687073
SVM,0.95093537414966
MLPClassifier,0.9652210884353742
rand1,0.49047619047619045
rand2,0.5047619047619047
rand3,0.4857142857142857
majoritario,0.6571428571428571
minoritario,0.34285714285714286
pessimo,0.0
otimo,1.0
