Metodo,Acuracia
GaussianNB,0.9571428571428572
BernoulliNB,0.6571428571428571
KNeighborsClassifier(2),0.9428571428571428
KNeighborsClassifier(3),0.9714285714285714
KNeighborsClassifier(5),0.9619047619047619
KNeighborsClassifier(8),0.9714285714285714
DecisionTreeClassifier(),0.9523809523809523
RandomForestClassifier(3_estimators),0.9523809523809523
RandomForestClassifier(5_estimators),0.9476190476190476
RandomForestClassifier,0.9666666666666667
SVM,0.9571428571428572
MLPClassifier,0.9428571428571428
rand1,0.49047619047619045
rand2,0.5047619047619047
rand3,0.4857142857142857
majoritario,0.6571428571428571
minoritario,0.34285714285714286
pessimo,0.0
otimo,1.0
