,Discriminacao,Dificuldade,Adivinhacao
V1,1.740,-2.865,0.092
V2,5.085,-1.836,0.017
V3,3.859,-1.870,0.041
V4,2.488,-1.704,0.300
V5,4.522,0.274,0.739
V6,5.206,-1.549,0.405
V7,1.079,-3.355,0.142
V8,1.495,-2.773,0.112
V9,6.190,-1.849,0.025
V10,2.002,-3.038,0.062
V11,5.575,0.378,0.465
V12,8.025,-1.517,0.162
V13,3.564,-1.527,0.054
V14,0.470,-5.098,0.117
V15,2.263,-2.433,0.148
V16,1.163,-3.491,0.124
V17,5.923,-1.729,0.288
V18,5.086,-1.836,0.017
V19,4.181,-1.866,0.043
V20,-1.460,-3.217,0.000
V21,2.983,-2.414,0.078
V22,8.024,-1.517,0.162
V23,12.193,0.428,0.582
V24,4.956,-2.119,0.030
V25,0.095,-6.438,0.174
V26,1.096,-4.086,0.100
V27,16.980,0.268,0.459
V28,-1.146,-1.970,0.001
V29,5.683,-1.545,0.293
V30,4.407,-1.616,0.061
V31,-1.288,-2.094,0.000
V32,1.045,-4.984,0.082
V33,1.194,-2.699,0.141
V34,5.301,-1.379,0.105
V35,2.803,-0.742,0.595
V36,2.985,-2.413,0.078
V37,2.196,-2.621,0.095
V38,5.396,-1.979,0.027
V39,5.324,-1.976,0.030
V40,6.879,-1.455,0.010
V41,4.944,-1.853,0.292
V42,-1.892,-0.853,0.043
V43,2.614,-1.947,0.294
V44,2.002,-3.038,0.062
V45,4.811,-1.720,0.032
V46,5.088,-1.836,0.017
V47,4.435,-1.517,0.012
V48,6.938,-0.226,0.548
V49,6.189,-1.691,0.007
V50,4.949,-1.853,0.293
V51,2.179,-1.363,0.406
V52,2.002,-3.038,0.063
V53,6.191,-1.691,0.007
V54,2.988,-2.412,0.079
V55,4.953,-1.853,0.294
V56,1.740,-2.865,0.092
V57,13.291,0.807,0.324
V58,7.628,-1.681,0.175
V59,4.408,-1.616,0.061
V60,6.192,-1.691,0.007
V61,5.324,-1.976,0.030
V62,1.387,-3.097,0.144
