Clf,Score
GaussianNB,155.43874038689856
RandomForestClassifier,155.43874038689856
SVM,155.43874038689856
minoritario,155.43874038689856
otimo,155.43874038689856
RandomForestClassifier(5_estimators),167.35706870941326
KNeighborsClassifier(5),170.178524807756
RandomForestClassifier(3_estimators),170.19943590874027
KNeighborsClassifier(8),170.19946386540414
rand3,171.06133524102776
rand2,179.09032817550022
rand1,180.4613448338603
DecisionTreeClassifier(),182.11950074100466
KNeighborsClassifier(2),182.11950366637345
KNeighborsClassifier(3),182.11950366637345
pessimo,185.51514389677223
BernoulliNB,186.67790237231478
majoritario,186.67790237231478
MLPClassifier,191.6138729594525
