Clf,Theta
GaussianNB,-1.5015707524983277
BernoulliNB,-0.31445880249164265
KNeighborsClassifier(2),-0.897034994983907
KNeighborsClassifier(3),-0.897034994983907
KNeighborsClassifier(5),-1.295624483550338
KNeighborsClassifier(8),-1.2952308798943144
DecisionTreeClassifier(),-0.8970351921718948
RandomForestClassifier(3_estimators),-1.2952314057289487
RandomForestClassifier(5_estimators),-1.3448058543993124
RandomForestClassifier,-1.5015707524983277
SVM,-1.5015707524983277
MLPClassifier,0.9050414994322447
rand1,-0.993190744019851
rand2,-1.055282734427089
rand3,-1.2786005482416407
majoritario,-0.31445880249164265
minoritario,-1.5015707524983277
pessimo,-0.5397799261010287
otimo,-1.5015707524983277
