Metodo,Acuracia
GaussianNB,0.7017126482740237
BernoulliNB,0.8247634279621485
KNeighborsClassifier(2),0.8296548047447688
KNeighborsClassifier(3),0.8940357190457151
KNeighborsClassifier(5),0.9193322670931627
KNeighborsClassifier(8),0.9087098493935759
DecisionTreeClassifier(),0.977169132347061
RandomForestClassifier(3_estimators),0.9396774623483941
RandomForestClassifier(5_estimators),0.936432093829135
RandomForestClassifier,0.9608756497401039
SVM,0.9559976009596161
MLPClassifier,0.9510928961748635
rand1,0.27944111776447106
rand2,0.2435129740518962
rand3,0.24750499001996007
majoritario,0.7005988023952096
minoritario,0.03792415169660679
pessimo,0.0
otimo,1.0
