,Discriminacao,Dificuldade,Adivinhacao
V1,1.069,0.681,0.014
V2,-6.495,0.851,0.056
V3,-5.687,1.163,0.082
V4,-6.493,0.851,0.056
V5,-6.700,1.004,0.059
V6,-6.699,1.004,0.059
V7,-6.544,0.850,0.056
V8,-5.296,0.968,0.100
V9,6.112,2.111,0.361
V10,-6.488,0.851,0.057
V11,-5.684,1.162,0.084
V12,-0.978,1.382,0.059
V13,3.233,1.754,0.076
V14,-6.486,0.851,0.057
V15,-6.539,0.850,0.057
V16,-5.301,0.967,0.101
V17,2.502,2.434,0.681
V18,-6.537,0.850,0.057
V19,1.979,3.638,0.642
V20,-7.697,-0.376,0.264
V21,-6.690,1.004,0.060
V22,-6.689,1.004,0.060
V23,-4.941,-1.154,0.125
V24,-6.688,1.004,0.060
V25,-6.687,1.004,0.060
V26,-5.306,0.965,0.103
V27,-5.680,1.161,0.086
V28,-6.685,1.004,0.061
V29,-5.309,0.964,0.104
V30,4.682,1.220,0.063
V31,-6.683,1.004,0.061
V32,-6.682,1.004,0.061
V33,-4.035,1.190,0.106
V34,-6.680,1.004,0.061
V35,-7.189,-0.478,0.215
V36,-6.679,0.723,0.057
V37,-6.524,0.850,0.059
V38,-6.228,-0.703,0.258
V39,-6.677,1.004,0.062
V40,-6.612,-0.647,0.208
V41,21.574,1.636,0.023
V42,-6.675,1.004,0.062
V43,-6.674,1.004,0.062
V44,-6.519,0.850,0.059
V45,4.623,1.966,0.526
V46,5.187,1.738,0.148
V47,-6.464,0.850,0.060
V48,5.388,2.216,0.152
V49,21.761,1.654,0.015
V50,-6.670,1.004,0.063
V51,-5.323,0.960,0.108
V52,-6.668,1.004,0.063
V53,3.396,1.718,0.068
V54,-6.728,0.723,0.058
V55,2.562,4.723,0.489
V56,-4.442,-1.318,0.213
V57,5.923,1.980,0.368
V58,-6.667,1.004,0.063
V59,-5.327,0.959,0.109
V60,-6.725,0.723,0.058
V61,-6.664,1.004,0.063
V62,5.625,1.435,0.552
V63,20.639,1.633,0.045
V64,-6.507,0.850,0.061
V65,6.317,2.089,0.255
V66,-4.642,0.804,0.219
V67,-6.505,0.850,0.061
V68,-5.333,0.957,0.111
V69,-4.886,1.340,0.103
V70,6.641,2.053,0.240
V71,-5.335,0.956,0.112
V72,-6.501,0.850,0.061
V73,5.857,1.667,0.132
V74,1.210,4.668,0.665
V75,1.163,0.050,0.010
V76,-6.655,1.004,0.065
V77,-6.998,-0.277,0.348
V78,-6.715,0.722,0.059
V79,-6.653,1.004,0.065
V80,-5.664,1.157,0.094
V81,-4.568,0.647,0.062
V82,-6.149,0.723,0.155
V83,-5.639,1.156,0.095
V84,0.979,6.039,0.657
V85,-6.453,-0.757,0.147
V86,-6.441,0.850,0.062
V87,-6.648,1.004,0.065
V88,-8.791,-0.326,0.160
V89,2.581,2.627,0.650
V90,-2.759,0.864,0.066
V91,-6.646,1.004,0.066
V92,-5.346,0.953,0.116
V93,6.013,1.402,0.521
V94,-6.489,0.849,0.063
V95,5.215,1.112,0.641
V96,-6.643,1.004,0.066
V97,-6.642,1.004,0.066
V98,-6.641,1.003,0.066
V99,-6.549,-0.676,0.151
V100,-6.640,1.003,0.066
V101,-6.639,1.003,0.066
V102,-6.430,0.850,0.063
V103,-6.637,1.003,0.067
V104,7.325,1.279,0.285
V105,-6.636,1.003,0.067
V106,5.677,1.759,0.173
V107,-6.480,0.849,0.063
V108,-4.872,1.337,0.110
V109,6.952,1.023,0.141
V110,-6.478,0.849,0.064
V111,-6.477,0.849,0.064
V112,-6.632,1.003,0.067
V113,-6.631,1.003,0.067
V114,-5.137,-1.218,0.231
V115,-6.630,1.003,0.068
V116,-4.869,1.336,0.111
V117,5.336,1.466,0.568
V118,6.333,1.718,0.173
V119,-6.628,1.003,0.068
V120,-5.349,-0.766,0.196
V121,-1.897,0.793,0.054
V122,-5.361,0.948,0.121
V123,7.399,0.971,0.268
V124,-6.626,1.003,0.068
V125,-6.470,0.849,0.065
V126,-6.624,1.003,0.068
V127,-6.623,1.003,0.068
V128,-6.415,0.850,0.065
V129,-4.209,-0.526,0.389
V130,-6.466,0.849,0.065
V131,-5.116,-1.475,0.390
V132,-6.453,-0.625,0.152
V133,-5.649,1.153,0.102
V134,-6.622,0.722,0.063
V135,-6.619,1.003,0.069
V136,-6.618,1.003,0.069
V137,-6.619,0.722,0.063
V138,1.516,0.183,0.006
V139,-6.408,0.850,0.066
V140,-5.371,0.945,0.124
V141,-1.651,-0.839,0.342
V142,-3.831,-0.517,0.247
V143,-6.614,1.003,0.070
V144,-1.267,1.356,0.054
V145,-6.613,1.003,0.070
V146,0.825,0.563,0.044
V147,-6.612,1.003,0.070
V148,1.560,4.014,0.658
V149,5.529,1.636,0.380
V150,4.230,1.698,0.608
V151,-5.623,1.152,0.104
V152,-5.644,1.152,0.104
V153,-6.453,0.849,0.066
V154,-6.285,-0.231,0.367
V155,-6.608,1.003,0.070
V156,-7.712,-0.408,0.211
V157,-4.063,1.166,0.134
V158,-6.252,-0.575,0.319
V159,-5.621,1.151,0.105
V160,-5.378,0.942,0.127
V161,-4.269,-0.473,0.289
V162,-5.609,-0.953,0.195
V163,-6.449,0.849,0.067
V164,-6.448,0.849,0.067
V165,-6.447,0.849,0.067
V166,-6.602,1.003,0.071
V167,-6.601,1.003,0.071
V168,-6.444,0.849,0.067
V169,-6.167,0.716,0.168
V170,0.542,-3.132,0.020
V171,-4.187,0.781,0.068
V172,3.639,1.732,0.084
V173,-6.441,0.849,0.068
V174,-5.385,0.940,0.130
V175,-6.595,1.003,0.072
V176,-6.438,0.849,0.068
V177,-6.991,0.574,0.180
V178,-4.514,0.645,0.068
V179,9.381,1.848,0.128
V180,5.213,1.462,0.567
V181,-4.380,-1.297,0.123
V182,6.910,1.252,0.199
V183,-6.652,0.721,0.066
V184,-6.591,1.003,0.072
V185,-2.482,0.797,0.041
V186,-5.635,1.150,0.109
V187,-6.589,1.003,0.072
V188,-1.713,0.620,0.057
V189,-5.634,1.149,0.109
V190,-5.633,1.149,0.109
V191,-6.586,1.003,0.073
V192,-6.169,0.715,0.171
V193,-6.645,0.721,0.066
V194,-6.376,0.849,0.069
V195,-0.022,29.597,0.015
V196,-6.643,0.721,0.066
V197,-6.581,1.003,0.073
V198,7.116,1.307,0.365
V199,-2.543,-0.158,0.103
V200,-6.580,1.003,0.073
V201,0.630,-2.628,0.025
V202,-6.580,1.003,0.074
V203,-5.630,1.148,0.111
V204,-6.549,-0.470,0.264
V205,-5.629,1.148,0.112
V206,-6.577,1.002,0.074
V207,-6.419,0.849,0.070
V208,-6.575,1.002,0.074
V209,-4.150,0.637,0.180
V210,-6.573,1.002,0.074
V211,-6.365,0.849,0.070
V212,-6.571,1.002,0.074
V213,-7.118,-0.399,0.261
V214,-5.402,0.934,0.137
V215,-6.171,0.713,0.175
V216,6.754,1.356,0.465
V217,-6.412,0.849,0.070
V218,-6.411,0.849,0.071
V219,0.814,-0.234,0.076
V220,6.358,1.380,0.497
V221,-7.592,-0.301,0.306
V222,6.918,1.739,0.198
V223,-2.837,0.884,0.040
V224,-6.410,0.849,0.071
V225,1.914,1.875,0.022
V226,5.034,1.472,0.567
V227,-5.560,-0.292,0.347
V228,-6.566,1.002,0.075
V229,-4.169,0.779,0.071
V230,-6.564,1.002,0.075
V231,-4.657,-0.592,0.386
V232,-6.406,0.849,0.071
V233,-6.623,0.720,0.068
V234,-3.920,-0.511,0.394
V235,-6.622,0.720,0.068
V236,5.687,1.399,0.505
V237,-2.164,1.009,0.050
V238,5.606,2.182,0.376
V239,-6.621,0.720,0.069
V240,-8.355,-0.382,0.210
V241,-6.621,0.720,0.069
V242,5.581,1.033,0.623
V243,-1.870,0.513,0.097
V244,6.478,1.913,0.347
V245,5.791,1.418,0.536
V246,-6.171,0.712,0.177
V247,-6.171,0.712,0.177
V248,-4.483,-0.888,0.261
V249,-6.561,0.721,0.069
V250,-7.005,-0.278,0.348
V251,-6.171,0.712,0.178
V252,4.233,1.700,0.608
V253,-6.398,0.848,0.072
V254,-6.559,0.721,0.069
V255,-1.428,1.099,0.055
V256,-6.553,1.002,0.077
V257,-6.552,1.002,0.077
V258,-7.111,0.516,0.250
V259,-6.347,-0.797,0.242
V260,6.720,2.043,0.325
V261,-5.413,0.929,0.142
V262,-6.550,1.002,0.077
V263,-5.414,0.929,0.143
V264,0.968,1.100,0.012
V265,-5.249,-0.699,0.318
V266,-6.548,1.002,0.077
V267,-6.547,1.002,0.077
V268,2.003,2.740,0.705
