Metodo,Acuracia
GaussianNB,0.868
BernoulliNB,0.852888888888889
KNeighborsClassifier(2),0.858
KNeighborsClassifier(3),0.8517777777777779
KNeighborsClassifier(5),0.8655555555555555
KNeighborsClassifier(8),0.8639999999999999
DecisionTreeClassifier(),0.9173333333333333
RandomForestClassifier(3_estimators),0.9302222222222222
RandomForestClassifier(5_estimators),0.9424444444444445
RandomForestClassifier,0.946
SVM,0.8586666666666666
MLPClassifier,0.781111111111111
rand1,0.5
rand2,0.45
rand3,0.472
majoritario,0.858
minoritario,0.142
pessimo,0.0
otimo,1.0
