,Discriminacao,Dificuldade,Adivinhacao
V1,1.607,1.184,0.002
V2,-3.221,-0.309,0.061
V3,-1.567,2.647,0.045
V4,-4.185,2.220,0.083
V5,-1.972,-1.151,0.572
V6,-2.790,1.479,0.074
V7,-4.553,0.442,0.104
V8,-2.203,-0.340,0.519
V9,-4.767,0.627,0.009
V10,-1.751,1.352,0.072
V11,-0.223,37.796,0.239
V12,-3.323,3.225,0.108
V13,0.534,-9.229,0.080
V14,-3.816,0.953,0.009
V15,-0.860,3.916,0.095
V16,-1.013,3.187,0.060
V17,-0.360,10.547,0.082
V18,-3.707,0.623,0.135
V19,-8.720,0.854,0.006
V20,-8.823,1.067,0.234
V21,10.057,0.118,0.000
V22,-2.273,1.939,0.078
V23,-3.330,0.628,0.010
V24,-6.842,0.418,0.008
V25,-1.889,1.414,0.068
V26,-1.633,2.299,0.048
V27,-0.560,6.755,0.075
V28,-0.356,8.560,0.091
V29,-1.913,0.714,0.019
V30,-2.075,0.870,0.017
V31,0.083,-59.010,0.075
V32,2.364,0.429,0.001
V33,-0.748,4.236,0.067
V34,0.083,-59.008,0.075
V35,-5.717,0.368,0.008
V36,-0.800,4.848,0.081
V37,-2.529,1.197,0.103
V38,-1.462,-0.410,0.057
V39,-4.184,1.733,0.086
V40,-3.895,0.241,0.174
V41,-1.996,2.085,0.037
V42,-4.004,0.368,0.010
V43,-4.185,2.220,0.084
V44,-1.129,2.454,0.059
V45,-10.220,1.015,0.007
V46,-0.220,38.348,0.242
V47,-1.243,2.737,0.054
V48,0.555,1.187,0.001
V49,-6.842,0.418,0.008
V50,-10.668,0.111,0.004
V51,-0.931,-0.841,0.464
V52,-2.231,1.616,0.048
V53,-8.051,1.308,0.355
V54,-4.225,-0.064,0.004
V55,-2.538,-0.841,0.010
V56,-4.186,1.733,0.086
V57,-2.620,-1.505,0.247
V58,-0.597,5.600,0.081
V59,-3.325,1.322,0.021
V60,-4.649,0.131,0.004
V61,-8.730,0.751,0.008
V62,-2.120,1.487,0.056
V63,-4.184,2.219,0.084
V64,-4.050,1.987,0.574
V65,-4.840,0.010,0.004
V66,-0.567,6.672,0.077
V67,-1.996,2.085,0.037
V68,-2.135,-2.114,0.420
V69,-4.097,0.577,0.010
