Clf,Score
SVM,3.9620283337379307
majoritario,3.9620283337379307
BernoulliNB,4.300907038523121
MLPClassifier,4.300907038523121
KNeighborsClassifier(5),4.300909777981205
KNeighborsClassifier(8),4.300909777981205
GaussianNB,4.301867373512931
RandomForestClassifier(3_estimators),4.302241796513673
RandomForestClassifier(5_estimators),4.303210787871924
RandomForestClassifier,4.30508130543409
otimo,4.30508130543409
KNeighborsClassifier(2),17.333619401562675
KNeighborsClassifier(3),66.14843822793671
DecisionTreeClassifier(),66.41918758952087
rand1,71.51435112709282
rand2,72.25130782766061
rand3,72.78222669097703
pessimo,73.47838436386625
minoritario,74.53590018871891
