Clf,Score
minoritario,122.0051750352212
pessimo,133.16705086850743
rand3,137.3856955640784
rand2,142.40952009666958
rand1,147.60318961159228
DecisionTreeClassifier(),187.1631295276846
KNeighborsClassifier(3),190.26829903391675
SVM,427.4100743597673
majoritario,427.4100743597673
BernoulliNB,427.66319182292665
MLPClassifier,427.66319182292665
KNeighborsClassifier(5),427.6631939505937
KNeighborsClassifier(8),427.6631939505937
GaussianNB,427.6639377311375
RandomForestClassifier(3_estimators),427.6642285737239
RandomForestClassifier(5_estimators),427.6649813193317
RandomForestClassifier,427.66643463155685
otimo,427.66643463155685
KNeighborsClassifier(2),428.33968133998434
