Clf,Theta
GaussianNB,-59.766031260002194
BernoulliNB,-59.7786702315484
KNeighborsClassifier(2),-1.5633407888880797
KNeighborsClassifier(3),3.010950474290025
KNeighborsClassifier(5),-59.778634171715176
KNeighborsClassifier(8),-59.778634171715176
DecisionTreeClassifier(),3.131385950649147
RandomForestClassifier(3_estimators),-59.7611045852875
RandomForestClassifier(5_estimators),-59.74835743424161
RandomForestClassifier,-59.72376237424093
SVM,-64.55333584614313
MLPClassifier,-59.7786702315484
rand1,7.4160294206025394
rand2,9.337686809329629
rand3,13.253537349907976
majoritario,-64.55333584614313
minoritario,48.07897149314854
pessimo,26.42725847467906
otimo,-59.72376237424093
