Metodo,Acuracia
GaussianNB,0.9337126600284495
BernoulliNB,0.9150782361308677
KNeighborsClassifier(2),0.8624466571834993
KNeighborsClassifier(3),0.899288762446657
KNeighborsClassifier(5),0.9177098150782361
KNeighborsClassifier(8),0.9124466571834994
DecisionTreeClassifier(),0.8700568990042676
RandomForestClassifier(3_estimators),0.8992887624466572
RandomForestClassifier(5_estimators),0.907325746799431
RandomForestClassifier,0.9098150782361308
SVM,0.9150782361308677
MLPClassifier,0.9284495021337127
rand1,0.5246913580246914
rand2,0.41358024691358025
rand3,0.4691358024691358
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
