Metodo,Acuracia
GaussianNB,0.9506172839506173
BernoulliNB,0.9135802469135802
KNeighborsClassifier(2),0.9197530864197531
KNeighborsClassifier(3),0.9567901234567902
KNeighborsClassifier(5),0.9320987654320988
KNeighborsClassifier(8),0.9259259259259259
DecisionTreeClassifier(),0.9012345679012346
RandomForestClassifier(3_estimators),0.9197530864197531
RandomForestClassifier(5_estimators),0.9012345679012346
RandomForestClassifier,0.9135802469135802
SVM,0.9135802469135802
MLPClassifier,0.9444444444444444
rand1,0.5246913580246914
rand2,0.41358024691358025
rand3,0.4691358024691358
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
