,Discriminacao,Dificuldade,Adivinhacao
V1,95.403,-0.407,0.000
V2,-3.372,-0.546,0.000
V3,815.788,-0.003,0.000
V4,-5.950,-0.030,0.000
V5,95.745,-0.406,0.000
V6,4.464,-0.679,0.000
V7,118.112,-0.093,0.167
V8,947.343,-0.968,0.000
V9,-1268.457,-0.001,0.000
V10,118.207,-0.093,0.167
V11,621.251,-0.004,0.000
V12,96.781,-0.401,0.000
V13,97.130,-0.399,0.000
V14,1557.223,-0.299,0.167
V15,947.005,-0.969,0.000
V16,97.481,-0.397,0.000
V17,97.834,-0.395,0.000
V18,98.187,-0.394,0.000
V19,98.544,-0.392,0.000
V20,621.256,-0.004,0.000
V21,98.901,-0.390,0.000
V22,26.888,-0.086,0.000
V23,119.208,-0.092,0.167
V24,99.986,-0.385,0.000
V25,100.351,-0.383,0.000
V26,100.718,-0.381,0.000
V27,119.735,-0.092,0.167
V28,101.456,-0.378,0.000
V29,621.262,-0.004,0.000
V30,120.016,-0.092,0.167
V31,734.445,-0.003,0.000
V32,946.681,-0.970,0.000
V33,102.202,-0.374,0.000
V34,1045.122,-0.002,0.167
V35,102.577,-0.373,0.000
V36,-472.498,-0.345,0.000
V37,946.371,-0.970,0.000
V38,1175.984,-0.400,0.333
V39,103.333,-0.369,0.000
V40,103.714,-0.367,0.000
V41,1276.886,-0.420,0.333
V42,104.096,-0.365,0.000
V43,946.073,-0.971,0.000
V44,121.096,-0.094,0.167
V45,104.866,-0.362,0.000
V46,105.254,-0.360,0.000
V47,105.643,-0.358,0.000
V48,106.034,-0.356,0.000
V49,106.426,-0.354,0.000
V50,106.821,-0.353,0.000
V51,107.217,-0.351,0.000
V52,107.614,-0.349,0.000
V53,1259.031,-0.001,0.000
V54,122.696,-0.098,0.167
V55,108.414,-0.345,0.000
V56,734.454,-0.003,0.000
V57,108.816,-0.343,0.000
V58,734.463,-0.003,0.000
V59,109.220,-0.342,0.000
V60,-1321.634,-0.001,0.000
V61,109.626,-0.340,0.000
V62,-471.984,-0.345,0.000
V63,110.442,-0.336,0.000
V64,124.102,-0.101,0.167
V65,111.265,-0.333,0.000
V66,111.679,-0.331,0.000
V67,945.789,-0.972,0.000
V68,112.094,-0.329,0.000
V69,1555.985,-0.300,0.167
V70,112.511,-0.327,0.000
V71,945.517,-0.972,0.000
V72,815.991,-0.003,0.000
V73,1554.760,-0.300,0.167
V74,112.929,-0.325,0.000
V75,113.349,-0.323,0.000
V76,934.850,-0.002,0.333
V77,1062.102,-0.002,0.000
V78,113.770,-0.322,0.000
V79,114.193,-0.320,0.000
V80,621.268,-0.004,0.000
V81,1477.543,-0.290,0.333
V82,126.114,-0.106,0.167
V83,115.044,-0.316,0.000
V84,126.592,-0.107,0.167
V85,126.835,-0.108,0.167
V86,-1282.468,-0.001,0.000
V87,116.331,-0.311,0.000
V88,-5.018,-0.180,0.000
V89,116.762,-0.309,0.000
V90,127.581,-0.109,0.167
V91,127.835,-0.110,0.167
V92,945.258,-0.973,0.000
V93,118.067,-0.304,0.000
V94,-1268.688,-0.001,0.000
V95,1062.126,-0.002,0.000
V96,1494.746,-0.001,0.167
V97,118.505,-0.302,0.000
V98,118.944,-0.300,0.000
V99,128.879,-0.112,0.167
V100,1062.149,-0.002,0.000
V101,119.826,-0.297,0.000
V102,784.273,-0.002,0.000
V103,129.418,-0.113,0.167
V104,4.464,-0.679,0.000
V105,120.714,-0.293,0.000
V106,1062.172,-0.002,0.000
V107,1001.504,-0.002,0.167
V108,121.160,-0.291,0.000
V109,121.608,-0.290,0.000
V110,122.056,-0.288,0.000
V111,642.475,-1.358,0.000
V112,945.011,-0.974,0.000
V113,734.471,-0.003,0.000
V114,122.507,-0.286,0.000
V115,1045.038,-0.002,0.167
V116,122.958,-0.285,0.000
V117,131.390,-0.116,0.167
V118,123.865,-0.281,0.000
V119,124.321,-0.279,0.000
V120,641.913,-1.358,0.000
V121,621.274,-0.004,0.000
V122,124.778,-0.278,0.000
V123,125.236,-0.276,0.000
V124,1553.550,-0.301,0.167
V125,1501.249,-0.275,0.333
V126,125.695,-0.274,0.000
V127,126.156,-0.273,0.000
V128,126.618,-0.271,0.000
V129,127.081,-0.270,0.000
V130,-1040.542,0.000,0.000
V131,944.775,-0.974,0.000
V132,1523.607,-0.314,0.167
V133,127.546,-0.268,0.000
V134,808.008,-0.003,0.000
V135,26.537,-0.087,0.000
V136,944.552,-0.975,0.000
V137,944.339,-0.975,0.000
V138,-5.474,-0.097,0.000
V139,128.478,-0.265,0.000
V140,944.138,-0.976,0.000
V141,128.947,-0.263,0.000
V142,129.417,-0.261,0.000
V143,129.888,-0.260,0.000
V144,-3.787,-0.305,0.000
V145,1062.195,-0.002,0.000
V146,-1206.815,-0.001,0.000
V147,130.360,-0.258,0.000
V148,943.948,-0.976,0.000
V149,1134.240,-0.002,0.167
V150,1521.206,-0.315,0.167
V151,-820.850,0.000,0.000
V152,130.833,-0.257,0.000
V153,131.308,-0.255,0.000
V154,131.784,-0.254,0.000
V155,132.261,-0.252,0.000
V156,943.768,-0.977,0.000
V157,132.740,-0.250,0.000
V158,138.109,-0.123,0.167
V159,138.459,-0.124,0.167
V160,138.812,-0.124,0.167
V161,1552.352,-0.302,0.167
V162,134.666,-0.244,0.000
