Clf,Score
KNeighborsClassifier(2),137.25232080563612
minoritario,137.25232080563612
pessimo,137.66961388898244
rand1,137.74122486643606
rand3,140.3980007132409
rand2,140.6025188767155
otimo,142.44835581316846
GaussianNB,142.74522745062222
BernoulliNB,142.74522745062222
KNeighborsClassifier(3),142.74522745062222
KNeighborsClassifier(5),142.74522745062222
KNeighborsClassifier(8),142.74522745062222
DecisionTreeClassifier(),142.74522745062222
RandomForestClassifier(3_estimators),142.74522745062222
RandomForestClassifier(5_estimators),142.74522745062222
RandomForestClassifier,142.74522745062222
SVM,142.74522745062222
MLPClassifier,142.74522745062222
majoritario,142.74522745062222
