Clf,Theta
GaussianNB,-0.0008635878677030941
BernoulliNB,-0.0008635878677030941
KNeighborsClassifier(2),-0.0021427797253128758
KNeighborsClassifier(3),-0.0008635878677030941
KNeighborsClassifier(5),-0.0008635878677030941
KNeighborsClassifier(8),-0.0008635878677030941
DecisionTreeClassifier(),-0.0008635878677030941
RandomForestClassifier(3_estimators),-0.0008635878677030941
RandomForestClassifier(5_estimators),-0.0008635878677030941
RandomForestClassifier,-0.0008635878677030941
SVM,-0.0008635878677030941
MLPClassifier,-0.0008635878677030941
rand1,-0.002038324103710478
rand2,-0.0014072719267049399
rand3,-0.0014546563023929279
majoritario,-0.0008635878677030941
minoritario,-0.0021427797253128758
pessimo,-0.002053633423089299
otimo,-0.0009458923944520653
