Metodo,Acuracia
GaussianNB,0.4732916355489172
BernoulliNB,0.46362957430918594
KNeighborsClassifier(2),0.4645537714712472
KNeighborsClassifier(3),0.4839899178491411
KNeighborsClassifier(5),0.5063106796116504
KNeighborsClassifier(8),0.5218259895444362
DecisionTreeClassifier(),0.4839992531740105
RandomForestClassifier(3_estimators),0.5092139656460044
RandomForestClassifier(5_estimators),0.48397124719940254
RandomForestClassifier,0.5044156086631815
SVM,0.5431665421956684
MLPClassifier,0.5567027632561612
rand1,0.30995475113122173
rand2,0.3031674208144796
rand3,0.3167420814479638
majoritario,0.4276018099547511
minoritario,0.22624434389140272
pessimo,0.0
otimo,1.0
