Metodo,Acuracia
GaussianNB,0.4434389140271493
BernoulliNB,0.49095022624434387
KNeighborsClassifier(2),0.49095022624434387
KNeighborsClassifier(3),0.5067873303167421
KNeighborsClassifier(5),0.5339366515837104
KNeighborsClassifier(8),0.5248868778280543
DecisionTreeClassifier(),0.45475113122171945
RandomForestClassifier(3_estimators),0.48868778280542985
RandomForestClassifier(5_estimators),0.5158371040723982
RandomForestClassifier,0.5226244343891403
SVM,0.5565610859728507
MLPClassifier,0.5588235294117647
rand1,0.30995475113122173
rand2,0.3031674208144796
rand3,0.3167420814479638
majoritario,0.4276018099547511
minoritario,0.22624434389140272
pessimo,0.0
otimo,1.0
