,Discriminacao,Dificuldade,Adivinhacao
V1,0.339,-3.791,0.086
V2,3.445,0.364,0.218
V3,0.197,0.462,0.301
V4,5.630,-0.376,0.081
V5,-0.517,0.425,0.308
V6,-1.627,-0.643,0.045
V7,-1.687,-3.777,0.262
V8,0.929,-1.719,0.071
V9,-17.238,-1.135,0.005
V10,0.975,2.413,0.242
V11,-1.094,-0.998,0.044
V12,0.609,-0.532,0.086
V13,6.887,-0.979,0.268
V14,2.739,1.057,0.338
V15,7.890,-0.940,0.055
V16,0.019,-88.738,0.074
V17,-1.182,-3.633,0.333
V18,1.758,3.283,0.171
V19,7.576,-0.854,0.421
V20,0.575,2.066,0.119
V21,5.722,0.469,0.380
V22,2.935,0.876,0.309
V23,1.313,-1.269,0.067
V24,4.573,-0.933,0.054
V25,3.786,-0.755,0.064
V26,6.670,-0.624,0.055
V27,6.886,-0.979,0.270
V28,3.447,0.075,0.291
V29,-16.187,-1.245,0.003
V30,-4.549,-1.130,0.005
V31,6.431,-0.053,0.143
V32,-1.017,0.094,0.345
V33,4.156,-0.690,0.064
V34,-0.724,-3.330,0.040
V35,4.692,-0.493,0.072
V36,-0.997,-5.429,0.007
V37,5.823,-0.863,0.054
V38,0.410,-2.917,0.075
V39,4.822,-0.346,0.086
V40,-1.352,-2.908,0.029
V41,-2.973,-2.959,0.010
V42,-1.771,-1.143,0.013
V43,4.859,-0.848,0.056
V44,-3.830,-1.172,0.021
V45,2.783,-0.973,0.062
V46,-4.179,-1.054,0.050
V47,3.279,0.461,0.403
V48,-2.119,-1.869,0.013
V49,0.620,-1.925,0.073
V50,2.646,0.673,0.192
V51,-1.878,-0.958,0.012
V52,-1.756,-1.695,0.017
V53,1.060,-0.009,0.064
V54,2.150,-0.391,0.084
V55,1.408,-0.132,0.079
V56,-2.799,-1.122,0.162
V57,-1.286,-1.524,0.482
V58,3.789,0.915,0.272
V59,-5.116,-0.880,0.007
V60,-4.654,-1.061,0.006
V61,4.169,-0.892,0.058
V62,-13.046,-1.660,0.007
V63,2.211,2.170,0.282
V64,3.543,-0.731,0.064
