Clf,Score
KNeighborsClassifier(3),56.093585684504745
majoritario,56.093585684504745
pessimo,85.25616295281787
rand1,155.3674573144351
RandomForestClassifier(3_estimators),156.19587270798732
rand3,186.870303191535
KNeighborsClassifier(5),191.04997756370173
rand2,201.66404210741632
KNeighborsClassifier(2),209.89985814267214
DecisionTreeClassifier(),213.11667302015155
KNeighborsClassifier(8),213.45729513857373
RandomForestClassifier(5_estimators),214.15697653655602
SVM,214.42822367844076
RandomForestClassifier,217.38585175449515
minoritario,221.6636249008409
BernoulliNB,224.9294220669374
MLPClassifier,233.5515622326129
GaussianNB,235.4406512393692
otimo,246.38414992793295
