Metodo,Acuracia
GaussianNB,0.9206666666666667
BernoulliNB,0.9218771929824563
KNeighborsClassifier(2),0.826578947368421
KNeighborsClassifier(3),0.8372456140350877
KNeighborsClassifier(5),0.8385263157894738
KNeighborsClassifier(8),0.834578947368421
DecisionTreeClassifier(),0.8598070175438597
RandomForestClassifier(3_estimators),0.8199298245614035
RandomForestClassifier(5_estimators),0.8703333333333333
RandomForestClassifier,0.8914561403508772
SVM,0.11508771929824561
MLPClassifier,0.9497368421052631
rand1,0.11728395061728394
rand2,0.13271604938271606
rand3,0.15123456790123457
majoritario,0.1111111111111111
minoritario,0.1111111111111111
pessimo,0.0
otimo,1.0
